,symbol,sec_name,pre_close,open,high,low,close,pct,amp,volume,amount,trade_date,turnrate,tot_mv,a_mv_ex_ltd,pe_ttm,pb_mrq
0,SHSE.600000,浦发银行,10.16,10.20,10.22,10.07,10.09,-0.69,1.48,28618932,289959892.95,2021-05-21,0.10,296163137117.08,296163137117.08,4.96,0.55
1,SHSE.600004,白云机场,12.02,12.07,12.07,11.87,11.96,-0.50,1.66,9892407,118388326.74,2021-05-21,0.48,28305950664.68,24749073347.44,-82.77,1.51
2,SHSE.600006,东风汽车,7.22,7.15,7.37,6.99,7.19,-0.42,5.26,91152061,652157849.96,2021-05-21,4.56,14380000000.00,14380000000.00,16.83,1.78
3,SHSE.600007,中国国贸,22.16,22.45,24.20,21.60,23.15,4.47,11.73,16779380,382576665.30,2021-05-21,1.67,23318590662.10,23318590662.10,27.14,2.83
4,SHSE.600008,首创环保,3.01,3.01,3.02,2.98,2.99,-0.66,1.33,26741850,80015147.48,2021-05-21,0.36,21948366124.23,21948366124.23,13.29,1.36
5,SHSE.600009,上海机场,47.63,47.66,47.95,47.03,47.16,-0.99,1.93,6794874,322479610.91,2021-05-21,0.62,90875360407.68,51568346882.52,-50.95,3.16
6,SHSE.600010,包钢股份,1.57,1.56,1.66,1.55,1.62,3.18,7.01,780668800,1255905876.71,2021-05-21,2.46,73847752889.76,51317082770.94,50.44,1.38
7,SHSE.600011,华能国际,4.16,4.15,4.28,4.13,4.26,2.40,3.61,42450934,179249992.48,2021-05-21,0.39,66873877709.34,46850244254.94,11.88,0.89
8,SHSE.600012,皖通高速,6.96,7.00,7.02,6.90,6.92,-0.57,1.72,2957900,20504516.00,2021-05-21,0.25,11477581200.00,8065952000.00,8.85,0.99
9,SHSE.600015,华夏银行,6.44,6.45,6.47,6.40,6.44,0.00,1.09,26304900,169200052.99,2021-05-21,0.21,99093722450.52,82578102045.32,4.55,0.44
10,SHSE.600016,民生银行,4.69,4.68,4.70,4.67,4.68,-0.21,0.64,54952790,257582354.43,2021-05-21,0.15,204901718589.36,165962736636.84,6.32,0.43
11,SHSE.600017,日照港,2.73,2.73,2.75,2.73,2.74,0.37,0.73,5787804,15839782.46,2021-05-21,0.19,8427291653.12,8427291653.12,12.76,0.67
12,SHSE.600018,上港集团,4.74,4.75,4.79,4.73,4.78,0.84,1.27,17484849,83294082.98,2021-05-21,0.08,110770164827.00,110770164827.00,11.55,1.23
13,SHSE.600019,宝钢股份,7.76,7.73,7.95,7.67,7.88,1.55,3.61,119652487,938970355.19,2021-05-21,0.54,175476484866.00,175033345083.56,10.64,0.93
14,SHSE.600020,中原高速,3.43,3.42,3.44,3.40,3.41,-0.58,1.17,5300958,18099770.56,2021-05-21,0.24,7663537947.12,7663537947.12,7.41,0.73
15,SHSE.600021,上海电力,7.17,7.18,7.35,7.13,7.32,2.09,3.07,25093318,182475517.60,2021-05-21,1.07,19157641922.04,17181842952.60,18.85,1.15
16,SHSE.600022,山东钢铁,1.75,1.74,1.82,1.73,1.79,2.29,5.14,162016571,289029941.24,2021-05-21,1.48,19594323812.64,19594323812.64,14.95,0.90
17,SHSE.600023,浙能电力,3.60,3.61,3.64,3.60,3.63,0.83,1.11,30519767,110711004.78,2021-05-21,0.22,49370504656.44,49370504656.44,7.50,0.71
18,SHSE.600025,华能水电,5.50,5.50,5.59,5.35,5.53,0.55,4.36,51863913,283630372.17,2021-05-21,0.29,99540000000.00,99540000000.00,18.13,2.03
19,SHSE.600026,中远海能,6.13,6.11,6.25,6.10,6.23,1.63,2.45,13962785,86319506.70,2021-05-21,0.49,29671570443.55,17848779846.24,14.22,0.85
20,SHSE.600027,华电国际,3.39,3.38,3.48,3.38,3.46,2.06,2.95,41071769,141548202.98,2021-05-21,0.50,34125899219.38,28184270963.38,8.15,0.71
21,SHSE.600028,中国石化,4.34,4.34,4.38,4.32,4.36,0.46,1.38,95573873,416296769.44,2021-05-21,0.10,527870474056.56,416631881760.56,7.46,0.69
22,SHSE.600029,南方航空,6.70,6.70,6.76,6.58,6.66,-0.60,2.69,45788243,304312608.42,2021-05-21,0.56,102093502635.00,54023074754.76,-10.65,1.56
23,SHSE.600030,中信证券,25.06,25.08,25.15,24.60,24.61,-1.80,2.19,82748062,2049817657.72,2021-05-21,0.84,318127958073.69,241538824437.00,19.89,1.71
24,SHSE.600031,三一重工,29.71,29.50,29.53,28.74,28.89,-2.76,2.66,129877491,3763370714.95,2021-05-21,1.53,245138045985.99,245138045985.99,13.10,3.95
25,SHSE.600033,福建高速,2.74,2.74,2.76,2.73,2.75,0.36,1.09,4034821,11082679.25,2021-05-21,0.15,7547100000.00,7547100000.00,10.51,0.75
