,symbol,sec_name,pre_close,open,high,low,close,pct,amp,volume,amount,trade_date,turnrate,a_mv_ex_ltd,tot_mv,pb_mrq,pe_ttm
0,SHSE.600000,浦发银行,8.11,8.11,8.18,8.09,8.15,0.49,1.11,21811956,177849450.09,2022-04-15,0.07,239220200667.15,239220200667.15,0.42,4.51
1,SHSE.600004,白云机场,13.35,13.19,13.60,13.16,13.43,0.60,3.30,19722390,264340772.01,2022-04-15,0.95,27790974503.02,31785026540.69,1.74,-78.32
2,SHSE.600006,东风汽车,5.22,5.17,5.21,5.07,5.15,-1.34,2.68,12605784,64773385.82,2022-04-15,0.63,10300000000.00,10300000000.00,1.27,27.71
3,SHSE.600007,中国国贸,15.13,15.00,15.75,14.96,15.28,0.99,5.22,12355886,189286418.07,2022-04-15,1.23,15391277119.52,15391277119.52,1.73,15.03
4,SHSE.600008,首创环保,3.14,3.15,3.26,3.13,3.15,0.32,4.14,93096070,296767620.50,2022-04-15,1.27,23122860632.55,23122860632.55,1.35,10.11
5,SHSE.600009,上海机场,52.00,51.60,53.18,51.13,52.71,1.37,3.94,12614621,662351819.73,2022-04-15,1.15,57637140885.87,101569979794.08,3.76,-59.37
6,SHSE.600010,包钢股份,2.23,2.22,2.31,2.21,2.24,0.45,4.48,531497408,1201715415.80,2022-04-15,1.68,70956953954.88,102110473131.52,1.83,35.62
7,SHSE.600011,华能国际,6.00,5.99,6.45,5.84,6.39,6.50,10.17,180970646,1118095773.27,2022-04-15,1.65,70275366382.41,100310816564.01,1.79,-9.77
8,SHSE.600012,皖通高速,7.76,7.75,7.79,7.71,7.75,-0.13,1.03,3636600,28176999.00,2022-04-15,0.31,9033400000.00,12854227500.00,1.09,8.49
9,SHSE.600015,华夏银行,5.64,5.63,5.70,5.61,5.67,0.53,1.60,25720490,145763369.49,2022-04-15,0.20,72704633322.51,87245559983.61,0.36,3.71
10,SHSE.600016,民生银行,3.82,3.82,3.84,3.81,3.83,0.26,0.79,49875960,190908157.82,2022-04-15,0.14,135819931905.79,167686662862.66,0.34,4.88
11,SHSE.600017,日照港,3.08,3.06,3.10,3.00,3.03,-1.62,3.25,28379476,86286884.30,2022-04-15,0.92,9319231280.64,9319231280.64,0.70,12.65
12,SHSE.600018,上港集团,6.14,6.12,6.23,6.04,6.19,0.81,3.09,42540692,261384824.76,2022-04-15,0.18,143445046083.50,144095027652.50,1.37,9.81
13,SHSE.600019,宝钢股份,7.36,7.30,7.53,7.28,7.35,-0.14,3.40,117758847,874725702.28,2022-04-15,0.53,163260797761.95,163672824892.50,0.84,6.20
14,SHSE.600020,中原高速,3.36,3.34,3.37,3.27,3.29,-2.08,2.98,13838001,45873580.99,2022-04-15,0.62,7393853327.28,7393853327.28,0.69,8.33
15,SHSE.600021,上海电力,8.35,8.31,8.86,8.20,8.73,4.55,7.90,76453019,657487810.68,2022-04-15,2.92,22847843439.81,22847843439.81,1.57,327.84
16,SHSE.600022,山东钢铁,1.74,1.74,1.80,1.73,1.76,1.15,4.02,225542440,399355932.68,2022-04-15,2.06,19265927324.16,19265927324.16,0.86,15.69
17,SHSE.600023,浙能电力,3.41,3.41,3.45,3.38,3.43,0.59,2.05,17616630,60274409.90,2022-04-15,0.13,46650366658.84,46650366658.84,0.72,14.86
18,SHSE.600025,华能水电,6.21,6.20,6.33,6.17,6.22,0.16,2.58,19192624,120029999.72,2022-04-15,0.11,111960000000.00,111960000000.00,2.15,19.18
19,SHSE.600026,中远海能,7.58,7.50,7.86,7.34,7.45,-1.72,6.86,55211893,416149188.75,2022-04-15,1.93,21344046525.60,35482054543.25,1.24,-7.13
20,SHSE.600027,华电国际,3.35,3.35,3.54,3.31,3.46,3.28,6.87,99097325,338951853.51,2022-04-15,1.22,28184270963.38,34149709423.90,0.86,-6.88
21,SHSE.600028,中国石化,4.39,4.38,4.40,4.35,4.35,-0.91,1.14,124368239,543718530.55,2022-04-15,0.13,415676304050.10,526659761960.10,0.66,7.40
22,SHSE.600029,南方航空,6.87,6.80,6.99,6.77,6.85,-0.29,3.20,18285103,125756228.42,2022-04-15,0.18,70006095847.95,116096864094.05,1.84,-9.59
23,SHSE.600030,中信证券,20.97,20.90,21.10,20.74,20.88,-0.43,1.72,77065140,1611278731.24,2022-04-15,0.68,237336348243.60,309453017789.52,1.34,13.36
24,SHSE.600031,三一重工,18.75,18.50,18.68,18.36,18.43,-1.71,1.71,72762420,1346797560.45,2022-04-15,0.86,156531261367.03,156531261367.03,2.40,10.07
25,SHSE.600032,浙江新能,12.13,12.08,12.57,11.91,12.52,3.22,5.44,14796877,183279326.15,2022-04-15,7.11,2604160000.00,26041600000.00,3.21,57.24
26,SHSE.600033,福建高速,2.99,3.00,3.01,2.95,2.97,-0.67,2.01,10242280,30504974.79,2022-04-15,0.37,8150868000.00,8150868000.00,0.76,9.83
27,SHSE.600035,楚天高速,3.42,3.40,3.44,3.33,3.35,-2.05,3.22,14011774,47248098.18,2022-04-15,0.87,5393888268.35,5393888268.35,0.74,7.88
28,SHSE.600036,招商银行,45.76,45.70,47.00,45.49,46.83,2.34,3.30,42315903,1962144156.60,2022-04-15,0.21,966053467610.07,1181045369494.83,1.54,9.85
29,SHSE.600037,歌华有线,9.01,8.95,8.98,8.75,8.78,-2.55,2.55,24631650,217318110.08,2022-04-15,1.77,12219809821.52,12219809821.52,0.95,58.51
30,SHSE.600038,中直股份,45.43,45.51,46.16,44.59,45.55,0.26,3.46,6469484,293739573.60,2022-04-15,1.10,26850664413.80,26850664413.80,2.78,29.40
31,SHSE.600039,四川路桥,10.33,10.27,10.32,10.01,10.03,-2.90,3.00,28049412,283202287.84,2022-04-15,0.77,36584897513.30,47892988106.67,1.66,8.58
32,SHSE.600048,保利发展,18.93,18.62,19.88,18.58,19.32,2.06,6.87,127974203,2472632595.63,2022-04-15,1.07,231265880929.44,231265880929.44,1.29,8.44
33,SHSE.600050,中国联通,3.54,3.53,3.56,3.52,3.53,-0.28,1.13,52568360,186129398.08,2022-04-15,0.17,109297314137.61,109388104590.36,0.72,17.35
34,SHSE.600051,宁波联合,8.95,8.81,8.82,8.41,8.50,-5.03,4.58,21813545,186797904.90,2022-04-15,7.02,2642480000.00,2642480000.00,0.84,10.59
35,SHSE.600052,东望时代,4.09,4.05,4.10,3.97,4.02,-1.71,3.18,4298082,17331839.64,2022-04-15,0.51,3393662858.82,3393662858.82,1.02,-84.84
36,SHSE.600053,九鼎投资,14.99,14.99,14.99,14.36,14.46,-3.54,4.20,3284817,47917578.83,2022-04-15,0.76,6268999968.00,6268999968.00,2.25,299.59
37,SHSE.600054,黄山旅游,11.35,11.18,11.62,11.00,11.02,-2.91,5.46,11470500,129410871.00,2022-04-15,2.23,5656566000.00,8037761428.80,1.91,306.99
38,SHSE.600055,万东医疗,24.51,24.38,24.83,23.93,24.30,-0.86,3.67,8085369,197121180.06,2022-04-15,1.50,13141833635.70,17084383709.40,3.82,88.55
39,SHSE.600056,中国医药,26.61,26.00,28.88,25.70,26.80,0.71,11.95,158777860,4341105535.46,2022-04-15,14.87,28625299706.40,28635412311.20,2.73,31.53
40,SHSE.600057,厦门象屿,9.36,9.36,9.45,9.08,9.20,-1.71,3.95,25334833,234720274.97,2022-04-15,1.19,19650757176.40,19846383584.40,1.49,9.19
41,SHSE.600058,五矿发展,9.04,8.98,9.14,8.82,8.85,-2.10,3.54,9863087,88750218.13,2022-04-15,0.92,9486409792.35,9486409792.35,1.99,19.81
42,SHSE.600059,古越龙山,9.92,9.92,10.09,9.78,9.85,-0.71,3.13,11093210,110447617.27,2022-04-15,1.22,8978692768.05,8978692768.05,1.65,44.79
43,SHSE.600060,海信视像,10.99,10.93,11.02,10.80,10.87,-1.09,2.00,6263905,68144604.61,2022-04-15,0.49,14012312883.14,14220799483.14,0.86,11.41
44,SHSE.600061,国投资本,7.14,7.10,7.17,7.03,7.05,-1.26,1.96,17735946,125841689.10,2022-04-15,0.28,45298384042.05,45298384042.05,0.98,9.45
45,SHSE.600062,华润双鹤,19.79,18.80,21.37,18.65,21.00,6.11,13.74,98930364,1997975216.19,2022-04-15,9.48,21907991910.00,21907991910.00,2.20,23.41
46,SHSE.600063,皖维高新,6.22,6.17,6.49,6.12,6.31,1.45,5.95,65016544,411780795.51,2022-04-15,3.38,12152395506.52,12152395506.52,1.82,12.37
47,SHSE.600064,南京高科,10.22,10.19,10.34,10.07,10.15,-0.68,2.64,19250949,196597626.17,2022-04-15,1.56,12544962413.20,12544962413.20,0.80,5.81
48,SHSE.600066,宇通客车,7.86,7.76,7.89,7.71,7.80,-0.76,2.29,18165878,141508865.29,2022-04-15,0.82,17268725939.40,17650863539.40,1.19,28.76
49,SHSE.600067,冠城大通,3.64,3.60,3.70,3.52,3.56,-2.20,4.95,49269214,177730158.93,2022-04-15,3.30,5311914181.00,5311914181.00,0.76,-5.44
50,SHSE.600070,ST富润,6.09,6.08,6.08,5.90,5.92,-2.79,2.96,3532703,21045057.76,2022-04-15,0.70,2999786733.44,3089921018.56,1.74,-4.05
