,symbol,sec_name,pre_close,open,high,low,close,pct,amp,volume,amount,trade_date,turnrate,tot_mv,a_mv_ex_ltd,pb_mrq,pe_ttm
0,SHSE.600000,浦发银行,8.04,8.06,8.06,7.95,7.95,-1.12,1.37,25527572,203770115.60,2022-05-23,0.09,233349766294.95,233349766294.95,0.41,4.35
1,SHSE.600004,白云机场,11.87,11.89,11.90,11.52,11.66,-1.77,3.20,17822924,207701846.00,2022-05-23,0.75,27595935179.78,27595935179.78,1.51,-82.67
2,SHSE.600006,东风汽车,5.35,5.33,5.89,5.31,5.76,7.66,10.84,69433604,390722745.41,2022-05-23,3.47,11520000000.00,11520000000.00,1.42,53.02
3,SHSE.600007,中国国贸,15.20,15.10,15.25,14.87,14.90,-1.97,2.50,4298125,64294046.55,2022-05-23,0.43,15008509756.60,15008509756.60,1.69,14.24
4,SHSE.600008,首创环保,2.97,2.98,2.99,2.95,2.98,0.34,1.35,42765581,127088316.40,2022-05-23,0.58,21874960217.46,21874960217.46,1.28,9.55
5,SHSE.600009,上海机场,47.76,47.76,47.76,46.66,47.36,-0.84,2.30,10928700,515951087.56,2022-05-23,1.00,91260752097.28,51787042161.92,3.38,-51.18
6,SHSE.600010,包钢股份,1.90,1.92,2.09,1.90,2.09,10.00,10.00,1332313840,2738238268.05,2022-05-23,4.21,95272718234.32,66205372216.83,1.71,38.68
7,SHSE.600011,华能国际,7.39,7.38,7.57,7.08,7.16,-3.11,6.63,103496349,746998721.96,2022-05-23,0.94,112398348450.44,78743603020.04,2.01,-7.80
8,SHSE.600012,皖通高速,7.31,7.33,7.40,7.28,7.34,0.41,1.64,3859338,28371561.31,2022-05-23,0.33,12174197400.00,8555504000.00,1.03,7.91
9,SHSE.600015,华夏银行,5.33,5.34,5.35,5.31,5.32,-0.19,0.75,19854960,105687348.60,2022-05-23,0.15,81860031589.56,68216692993.96,0.34,3.44
10,SHSE.600016,民生银行,3.78,3.79,3.79,3.77,3.79,0.26,0.53,44116164,166878491.95,2022-05-23,0.12,165935366122.58,134401446977.27,0.33,4.97
11,SHSE.600017,日照港,2.90,2.88,2.95,2.88,2.92,0.69,2.41,29765901,87087616.94,2022-05-23,0.97,8980909352.96,8980909352.96,0.67,11.43
12,SHSE.600018,上港集团,6.16,6.16,6.21,6.10,6.12,-0.65,1.79,26412641,162241521.72,2022-05-23,0.11,142465520070.00,141822888858.00,1.35,8.27
13,SHSE.600019,宝钢股份,6.37,6.37,6.58,6.36,6.48,1.73,3.45,88642134,574489462.67,2022-05-23,0.40,144299306844.00,143936050271.76,0.74,6.56
14,SHSE.600020,中原高速,3.04,3.05,3.06,3.03,3.05,0.33,0.99,6112705,18618341.25,2022-05-23,0.27,6854484087.60,6854484087.60,0.64,13.03
15,SHSE.600021,上海电力,9.40,9.39,9.54,9.22,9.26,-1.49,3.40,40351930,376140279.87,2022-05-23,1.54,24234940464.22,24234940464.22,1.67,-11.76
16,SHSE.600022,山东钢铁,1.61,1.61,1.67,1.61,1.66,3.11,3.73,170122712,280769804.56,2022-05-23,1.55,18171272362.56,18171272362.56,0.81,15.12
17,SHSE.600023,浙能电力,3.42,3.43,3.43,3.39,3.41,-0.29,1.17,13755008,46845166.40,2022-05-23,0.10,46378352859.08,46378352859.08,0.72,-36.20
18,SHSE.600025,华能水电,6.87,6.88,6.93,6.79,6.82,-0.73,2.04,26901835,183821912.38,2022-05-23,0.15,122760000000.00,122760000000.00,2.36,20.53
19,SHSE.600026,中远海能,8.52,8.32,8.62,8.28,8.48,-0.47,3.99,36644022,308930184.27,2022-05-23,1.28,40387627184.80,24294968394.24,1.41,-7.63
20,SHSE.600027,华电国际,3.84,3.82,3.86,3.75,3.80,-1.04,2.86,58887487,223236132.11,2022-05-23,0.72,37505461217.00,30953823601.40,0.95,-6.71
21,SHSE.600028,中国石化,4.32,4.34,4.34,4.30,4.31,-0.23,0.93,121321337,523731270.29,2022-05-23,0.13,521816913574.26,411853993208.26,0.66,6.90
