,symbol,sec_name,pre_close,open,high,low,close,pct,amp,volume,amount,trade_date,turnrate,a_mv_ex_ltd,tot_mv,pe_ttm,pb_mrq
0,SHSE.600000,浦发银行,7.25,7.3,7.4,7.27,7.4,2.0689655172413834,1.7931034482758728,26925447,198390792.46,2023-07-13,0.0917,217206099750.8,217206099750.8,4.5618,0.3618
1,SHSE.600004,白云机场,14.07,14.24,14.27,14.08,14.16,0.6396588486140775,1.3503909026297052,14354808,203122800.63,2023-07-13,0.6065,33512730887.28,33512730887.28,-35.5092,1.9317
2,SHSE.600006,东风汽车,6.1,6.1,6.12,5.97,6.01,-1.4754098360655665,2.459016393442629,27309840,164465300.01,2023-07-13,1.3655,12020000000.0,12020000000.0,45.8682,1.4667
3,SHSE.600007,中国国贸,19.01,18.99,19.16,18.95,18.98,-0.15781167806417917,1.1046817464492418,1110523,21137148.47,2023-07-13,0.1102,19118222495.32,19118222495.32,16.3707,2.1021
4,SHSE.600008,首创环保,2.85,2.86,2.88,2.85,2.88,1.0526315789473717,1.0526315789473615,26162338,75096757.17,2023-07-13,0.3564,21140901149.76,21140901149.76,6.6817,1.1399
5,SHSE.600009,上海机场,47.0,47.19,47.3,46.82,46.92,-0.17021276595744483,1.021276595744674,7156658,336409646.8,2023-07-13,0.3714,90412890380.16,116759544472.8,-45.082,2.9381
6,SHSE.600010,包钢股份,1.82,1.83,1.84,1.82,1.83,0.5494505494505475,1.0989010989010999,145649096,266600778.51,2023-07-13,0.4624,57639731772.21,83091044313.84,-107.8872,1.5694
7,SHSE.600011,华能国际,9.5,9.44,9.52,9.33,9.47,-0.3157894736842026,1.999999999999995,34270184,323325542.62,2023-07-13,0.3116,104148312932.93,148660944109.73,-35.5606,2.8548
8,SHSE.600012,皖通高速,10.04,10.04,10.15,9.97,9.99,-0.4980079681274785,1.7928286852589614,5892266,59139685.76,2023-07-13,0.5055,11644344000.0,16569513900.0,11.0579,1.3999
9,SHSE.600015,华夏银行,5.39,5.41,5.49,5.4,5.49,1.855287569573294,1.669758812615953,21674974,118255414.72,2023-07-13,0.169,70396549724.97,87372957289.32,3.4585,0.3302
10,SHSE.600016,民生银行,3.77,3.78,3.82,3.77,3.82,1.3262599469495928,1.3262599469495973,43651119,166056543.51,2023-07-13,0.1231,135465310673.66,167248838677.64,4.6748,0.3226
11,SHSE.600017,日照港,2.91,2.92,2.94,2.9,2.93,0.6872852233676952,1.3745704467353963,16872773,49357710.48,2023-07-13,0.5486,9011665891.84,9011665891.84,14.947,0.6747
12,SHSE.600018,上港集团,5.21,5.21,5.26,5.21,5.25,0.7677543186180413,0.9596928982725494,7398272,38763634.28,2023-07-13,0.0319,121661791912.5,122241759937.5,7.9998,1.0521
13,SHSE.600019,宝钢股份,5.66,5.68,5.77,5.67,5.74,1.4134275618374659,1.7667844522968137,37364752,214347903.76,2023-07-13,0.1709,125464454968.16,127785029343.16,12.4066,0.6479
14,SHSE.600020,中原高速,3.63,3.62,3.7,3.62,3.68,1.377410468319562,2.203856749311297,10109167,37063099.11,2023-07-13,0.4498,8270328341.76,8270328341.76,21.4651,0.7608
15,SHSE.600021,上海电力,10.71,10.69,10.77,10.56,10.75,0.37348272642390157,1.9607843137254815,62244314,664994516.03,2023-07-13,2.3783,28134515117.75,30279994183.75,54.6111,1.6962
16,SHSE.600022,山东钢铁,1.4,1.4,1.42,1.4,1.42,1.4285714285714235,1.42857142857143,14799011,20927923.51,2023-07-13,0.1383,15192366366.68,15192366366.68,-44.1221,0.7138
17,SHSE.600023,浙能电力,5.04,5.05,5.11,5.03,5.09,0.9920634920634885,1.5873015873015885,34463810,174644793.86,2023-07-13,0.257,68250449692.41,68250449692.41,-47.4345,1.068
18,SHSE.600025,华能水电,6.97,6.97,7.04,6.96,7.02,0.7173601147776099,1.1477761836441904,12359052,86761119.38,2023-07-13,0.0687,126360000000.0,126360000000.0,18.4132,2.3112
19,SHSE.600026,中远海能,13.69,13.84,14.58,13.83,14.07,2.775748721694682,5.478451424397371,41772621,591264353.62,2023-07-13,1.2022,48890103877.65,67124823877.65,26.5509,1.9563
20,SHSE.600027,华电国际,6.77,6.75,6.8,6.69,6.75,-0.2954209748892156,1.6248153618906862,49748962,335144142.76,2023-07-13,0.5846,57444710847.75,69036037647.75,112.8462,1.8175
21,SHSE.600028,中国石化,6.48,6.49,6.65,6.47,6.65,2.6234567901234573,2.777777777777787,114072144,751975273.52,2023-07-13,0.1199,632517882455.9,797311110845.9,12.5355,1.0009
22,SHSE.600029,南方航空,6.37,6.4,6.5,6.37,6.39,0.31397174254317317,2.0408163265306105,33046900,212051154.0,2023-07-13,0.2608,80982621985.86,115792586208.9,-3.849,3.0362
23,SHSE.600030,中信证券,20.08,20.19,20.54,20.18,20.47,1.9422310756972205,1.7928286852589614,80379278,1643443225.76,2023-07-13,0.7071,232676008072.15,303376593589.63,14.1069,1.2428
24,SHSE.600031,三一重工,16.61,16.71,16.81,16.52,16.69,0.48163756773029753,1.7459361830222706,33382548,556236951.71,2023-07-13,0.3944,141267762319.53,141641388832.03,33.7672,2.1214
25,SHSE.600032,浙江新能,12.18,12.19,12.29,12.12,12.14,-0.3284072249589376,1.395730706075533,5240011,63817741.77,2023-07-13,2.5192,2525120000.0,29192758433.36,42.1962,2.478
26,SHSE.600033,福建高速,3.14,3.14,3.18,3.14,3.18,1.273885350318471,1.2738853503184724,6725727,21277655.3,2023-07-13,0.2451,8727192000.0,8727192000.0,10.3018,0.8078
27,SHSE.600035,楚天高速,4.01,4.02,4.1,4.02,4.09,1.9950124688279391,1.9950124688279323,10299498,41851844.32,2023-07-13,0.6397,6585374035.09,6585374035.09,7.9412,0.8391
28,SHSE.600036,招商银行,31.46,31.99,32.0,31.45,31.85,1.2396694214876103,1.7482517482517506,56385028,1791570807.32,2023-07-13,0.2733,657031880063.65,803252082391.85,5.7037,0.9376
29,SHSE.600037,歌华有线,8.19,8.24,8.47,8.13,8.37,2.19780219780219,4.15140415140415,18138340,150280655.03,2023-07-13,1.3032,11649180889.08,11649180889.08,65.3707,0.9035
30,SHSE.600038,中直股份,39.93,39.98,40.65,39.8,40.33,1.0017530678687603,2.1287252692211407,4758726,191290254.63,2023-07-13,0.8073,23773595956.28,23773595956.28,60.9781,2.4347
31,SHSE.600039,四川路桥,9.75,9.8,9.93,9.77,9.91,1.6410256410256396,1.6410256410256423,10489007,103364120.8,2023-07-13,0.158,65795448382.75,86371379615.15,7.2675,2.0436
32,SHSE.600048,保利发展,12.44,12.46,12.6,12.43,12.57,1.0450160771704242,1.366559485530546,46314158,579537811.25,2023-07-13,0.3869,150468473764.26,150468473764.26,7.6303,0.7744
33,SHSE.600050,中国联通,4.58,4.61,4.66,4.6,4.65,1.5283842794759916,1.3100436681222816,173253207,802472314.87,2023-07-13,0.5595,143990283250.8,147890628502.05,19.6289,0.9309
34,SHSE.600051,宁波联合,7.34,7.32,7.39,7.32,7.35,0.13623978201635634,0.9536784741144331,1845739,13589068.04,2023-07-13,0.5937,2284968000.0,2284968000.0,13.7042,0.7004
35,SHSE.600052,东望时代,4.91,4.95,5.35,4.9,5.2,5.906313645621175,9.164969450101818,29674370,152440850.09,2023-07-13,3.5151,4389812653.2,4389812653.2,-21.9136,1.4785
36,SHSE.600053,九鼎投资,12.96,12.96,13.15,12.96,13.14,1.388888888888884,1.4660493827160455,890647,11665412.47,2023-07-13,0.2054,5696726112.0,5696726112.0,52.6627,1.9471
37,SHSE.600054,黄山旅游,13.37,13.45,13.46,13.12,13.34,-0.224382946896029,2.5430067314884193,5621300,74565438.0,2023-07-13,1.0951,6847422000.0,9729921729.6,612.6601,2.2776
38,SHSE.600055,万东医疗,20.19,20.19,20.44,20.12,20.28,0.4457652303120341,1.5849430411094614,2894957,58703234.94,2023-07-13,0.5353,10967752515.72,14258078256.24,78.6979,3.0971
39,SHSE.600056,中国医药,12.82,12.82,12.93,12.82,12.93,0.8580343213728581,0.8580343213728504,8069800,104075012.38,2023-07-13,0.5397,19334894610.54,19341725141.64,25.5001,1.7362
40,SHSE.600057,厦门象屿,7.76,7.77,7.9,7.77,7.89,1.675257731958757,1.675257731958773,11216455,88211144.74,2023-07-13,0.5214,16973731507.41,17896145276.88,6.6131,1.2356
41,SHSE.600058,五矿发展,9.67,9.7,9.84,9.68,9.73,0.6204756980351611,1.6546018614270956,5802934,56497219.45,2023-07-13,0.5414,10429691218.03,10429691218.03,43.1539,2.1044
42,SHSE.600059,古越龙山,10.89,10.95,11.08,10.85,10.9,0.09182736455464191,2.1120293847566614,17953265,196414472.85,2023-07-13,1.9695,9935812301.7,9935812301.7,51.8218,1.8031
43,SHSE.600060,海信视像,22.64,22.65,23.28,22.64,22.93,1.2809187279151812,2.826855123674914,7761300,179024772.63,2023-07-13,0.6021,29558632420.46,29984465450.46,14.9829,1.6751
44,SHSE.600061,国投资本,7.13,7.18,7.3,7.15,7.27,1.9635343618513268,2.1037868162692774,22201406,160999339.48,2023-07-13,0.3455,46711980988.52,46711980988.52,12.4781,0.945
45,SHSE.600062,华润双鹤,16.77,16.88,16.92,16.74,16.81,0.23852116875371365,1.0733452593917905,9278748,155916869.4,2023-07-13,0.9057,17220972729.1,17534961676.1,14.5625,1.665
46,SHSE.600063,皖维高新,5.31,5.32,5.39,5.29,5.32,0.18832391713747842,1.8832391713747578,15130503,80687112.93,2023-07-13,0.7856,10245759761.44,11487206669.68,10.708,1.4738
47,SHSE.600064,南京高科,6.6,6.6,6.67,6.6,6.66,0.909090909090926,1.060606060606065,8093388,53799001.7,2023-07-13,0.4677,11524062029.04,11524062029.04,4.8517,0.674
48,SHSE.600066,宇通客车,14.34,14.29,14.46,14.2,14.3,-0.2789400278939924,1.813110181311029,20585127,294903433.52,2023-07-13,0.9298,31659330888.9,31659330888.9,31.8076,2.4719
49,SHSE.600067,冠城大通,2.69,2.69,2.73,2.69,2.71,0.743494423791824,1.4869888475836444,6346180,17182130.0,2023-07-13,0.456,3771422282.69,3771422282.69,118.958,0.5417
50,SHSE.600070,ST富润,2.98,2.89,2.97,2.87,2.89,-3.0201342281879096,3.35570469798658,5582200,16220150.0,2023-07-13,1.1016,1464422915.48,1466445915.48,-2.8167,1.3053
51,SHSE.600071,凤凰光学,21.47,21.43,21.56,21.27,21.35,-0.5589194224499217,1.3507219375873272,2996792,64133059.48,2023-07-13,1.0643,6011602530.15,6011602530.15,-1624.4199,11.9673
