date,name,code,weekday,open,high,low,close,change,pct
2002-12-31,股票基金,H11021,二,1000.00,1000.00,1000.00,1000.00,,
2003-01-02,股票基金,H11021,四,986.62,986.62,986.62,986.62,-13.38,-1.34
2003-01-03,股票基金,H11021,五,985.60,985.60,985.60,985.60,-1.02,-0.10
2003-01-06,股票基金,H11021,一,990.32,990.32,990.32,990.32,4.72,0.48
2003-01-07,股票基金,H11021,二,989.26,989.26,989.26,989.26,-1.06,-0.11
2003-01-08,股票基金,H11021,三,1004.01,1004.01,1004.01,1004.01,14.75,1.49
2003-01-09,股票基金,H11021,四,1012.54,1012.54,1012.54,1012.54,8.53,0.85
2003-01-10,股票基金,H11021,五,1009.41,1009.41,1009.41,1009.41,-3.13,-0.31
2003-01-13,股票基金,H11021,一,1010.64,1010.64,1010.64,1010.64,1.22,0.12
2003-01-14,股票基金,H11021,二,1037.74,1037.74,1037.74,1037.74,27.10,2.68
2003-01-15,股票基金,H11021,三,1039.85,1039.85,1039.85,1039.85,2.11,0.20
2003-01-16,股票基金,H11021,四,1047.77,1047.77,1047.77,1047.77,7.92,0.76
2003-01-17,股票基金,H11021,五,1044.67,1044.67,1044.67,1044.67,-3.10,-0.30
2003-01-20,股票基金,H11021,一,1045.44,1045.44,1045.44,1045.44,0.77,0.07
2003-01-21,股票基金,H11021,二,1037.48,1037.48,1037.48,1037.48,-7.96,-0.76
2003-01-22,股票基金,H11021,三,1036.84,1036.84,1036.84,1036.84,-0.65,-0.06
2003-01-23,股票基金,H11021,四,1034.82,1034.82,1034.82,1034.82,-2.02,-0.19
2003-01-24,股票基金,H11021,五,1041.68,1041.68,1041.68,1041.68,6.86,0.66
2003-01-27,股票基金,H11021,一,1048.88,1048.88,1048.88,1048.88,7.20,0.69
2003-01-28,股票基金,H11021,二,1050.69,1050.69,1050.69,1050.69,1.81,0.17
2003-01-29,股票基金,H11021,三,1051.97,1051.97,1051.97,1051.97,1.28,0.12
2003-02-10,股票基金,H11021,一,1043.56,1043.56,1043.56,1043.56,-8.41,-0.80
2003-02-11,股票基金,H11021,二,1047.15,1047.15,1047.15,1047.15,3.59,0.34
2003-02-12,股票基金,H11021,三,1053.34,1053.34,1053.34,1053.34,6.19,0.59
2003-02-13,股票基金,H11021,四,1052.09,1052.09,1052.09,1052.09,-1.25,-0.12
2003-02-14,股票基金,H11021,五,1053.97,1053.97,1053.97,1053.97,1.88,0.18
2003-02-17,股票基金,H11021,一,1049.14,1049.14,1049.14,1049.14,-4.83,-0.46
2003-02-18,股票基金,H11021,二,1048.22,1048.22,1048.22,1048.22,-0.93,-0.09
2003-02-19,股票基金,H11021,三,1052.45,1052.45,1052.45,1052.45,4.24,0.40
2003-02-20,股票基金,H11021,四,1053.52,1053.52,1053.52,1053.52,1.07,0.10
2003-02-21,股票基金,H11021,五,1043.66,1043.66,1043.66,1043.66,-9.86,-0.94
2003-02-24,股票基金,H11021,一,1044.41,1044.41,1044.41,1044.41,0.75,0.07
2003-02-25,股票基金,H11021,二,1053.87,1053.87,1053.87,1053.87,9.47,0.91
2003-02-26,股票基金,H11021,三,1054.82,1054.82,1054.82,1054.82,0.94,0.09
2003-02-27,股票基金,H11021,四,1054.99,1054.99,1054.99,1054.99,0.17,0.02
2003-02-28,股票基金,H11021,五,1054.40,1054.40,1054.40,1054.40,-0.59,-0.06
2003-03-03,股票基金,H11021,一,1059.76,1059.76,1059.76,1059.76,5.36,0.51
2003-03-04,股票基金,H11021,二,1060.34,1060.34,1060.34,1060.34,0.59,0.06
2003-03-05,股票基金,H11021,三,1058.72,1058.72,1058.72,1058.72,-1.62,-0.15
2003-03-06,股票基金,H11021,四,1052.31,1052.31,1052.31,1052.31,-6.41,-0.61
2003-03-07,股票基金,H11021,五,1050.44,1050.44,1050.44,1050.44,-1.87,-0.18
2003-03-10,股票基金,H11021,一,1041.30,1041.30,1041.30,1041.30,-9.14,-0.87
2003-03-11,股票基金,H11021,二,1040.68,1040.68,1040.68,1040.68,-0.62,-0.06
2003-03-12,股票基金,H11021,三,1043.06,1043.06,1043.06,1043.06,2.38,0.23
2003-03-13,股票基金,H11021,四,1041.00,1041.00,1041.00,1041.00,-2.06,-0.20
2003-03-14,股票基金,H11021,五,1041.24,1041.24,1041.24,1041.24,0.23,0.02
2003-03-17,股票基金,H11021,一,1041.90,1041.90,1041.90,1041.90,0.67,0.06
2003-03-18,股票基金,H11021,二,1039.98,1039.98,1039.98,1039.98,-1.92,-0.18
2003-03-19,股票基金,H11021,三,1041.93,1041.93,1041.93,1041.93,1.95,0.19
2003-03-20,股票基金,H11021,四,1040.95,1040.95,1040.95,1040.95,-0.98,-0.09
2003-03-21,股票基金,H11021,五,1045.09,1045.09,1045.09,1045.09,4.14,0.40
2003-03-24,股票基金,H11021,一,1046.38,1046.38,1046.38,1046.38,1.28,0.12
2003-03-25,股票基金,H11021,二,1041.45,1041.45,1041.45,1041.45,-4.92,-0.47
2003-03-26,股票基金,H11021,三,1039.88,1039.88,1039.88,1039.88,-1.57,-0.15
2003-03-27,股票基金,H11021,四,1053.24,1053.24,1053.24,1053.24,13.36,1.28
