date,symbol,high20,low20,high60,low60,high120,low120
2021-03-25,cyb,4,13,1,9,0,4
2021-03-25,kc50,2,13,1,9,0,5
2021-03-25,cy50,1,7,0,5,0,2
2021-03-26,all,374,76,150,19,67,15
2021-03-26,zz500,34,6,15,1,10,1
2021-03-26,kc50,3,0,1,0,0,0
2021-03-26,sz50,1,1,0,1,0,1
2021-03-26,hs300,16,6,1,5,1,5
2021-03-26,cyb,8,2,3,0,1,0
2021-03-26,cy50,2,0,1,0,0,0
2021-03-29,zz500,38,25,16,4,11,2
2021-03-29,hs300,17,20,6,14,4,10
2021-03-29,cy50,1,1,0,0,0,0
2021-03-29,sz50,1,4,1,3,0,2
2021-03-29,kc50,5,3,2,1,0,0
2021-03-29,all,444,245,211,55,99,39
2021-03-29,cyb,4,6,0,3,0,3
2021-03-30,sz50,4,4,1,2,1,1
2021-03-30,hs300,23,21,7,9,7,7
2021-03-30,cy50,5,4,1,1,1,1
2021-03-30,kc50,2,10,0,9,0,7
2021-03-30,all,342,634,156,108,84,90
2021-03-30,cyb,14,11,1,5,1,5
2021-03-30,zz500,41,59,18,8,13,6
2021-03-31,cyb,6,7,0,3,0,3
2021-03-31,all,394,311,200,87,90,68
2021-03-31,sz50,3,6,0,3,0,2
2021-03-31,cy50,3,2,0,2,0,2
2021-03-31,kc50,3,10,1,8,0,6
2021-03-31,hs300,25,30,9,14,7,10
2021-03-31,zz500,46,47,22,11,13,9
2021-04-01,kc50,4,3,0,1,0,1
2021-04-01,all,410,311,177,56,79,47
2021-04-01,sz50,7,3,1,1,0,1
2021-04-01,zz500,55,28,19,7,10,5
2021-04-01,cy50,8,2,0,2,0,2
2021-04-01,hs300,32,15,4,6,3,6
2021-04-01,cyb,14,6,1,4,0,4
2021-04-02,kc50,11,1,1,0,1,0
2021-04-02,cyb,26,2,3,1,2,1
2021-04-02,all,457,212,153,31,68,24
2021-04-02,hs300,47,12,3,4,3,4
2021-04-02,sz50,8,4,0,2,0,2
2021-04-02,zz500,49,23,15,3,8,3
2021-04-02,cy50,14,1,2,1,1,1
2021-04-06,hs300,37,15,3,3,2,2
2021-04-06,zz500,43,15,14,5,8,3
2021-04-06,sz50,4,5,0,1,0,1
2021-04-06,kc50,9,1,2,0,1,0
2021-04-06,cyb,14,1,2,0,0,0
2021-04-06,all,629,66,217,18,97,14
2021-04-06,cy50,9,0,1,0,0,0
2021-04-07,zz500,57,21,24,4,14,2
2021-04-07,kc50,11,1,3,0,2,0
2021-04-07,cy50,7,1,1,1,0,1
2021-04-07,all,688,75,261,18,99,10
2021-04-07,hs300,33,10,4,4,4,2
2021-04-07,sz50,4,5,1,1,1,1
2021-04-07,cyb,14,2,1,1,0,1
2021-04-08,zz500,55,43,24,6,20,3
2021-04-08,cyb,21,3,3,2,2,2
2021-04-08,sz50,5,3,0,0,0,0
2021-04-08,hs300,27,28,1,8,1,6
2021-04-08,cy50,12,1,3,1,2,1
2021-04-08,all,427,242,174,32,98,22
2021-04-08,kc50,12,0,3,0,3,0
2021-04-09,kc50,4,2,0,0,0,0
2021-04-09,all,511,325,237,58,94,36
2021-04-09,zz500,57,62,23,12,15,5
2021-04-09,cy50,7,2,3,2,2,2
2021-04-09,hs300,16,52,4,14,4,9
2021-04-09,cyb,13,7,4,5,3,4
2021-04-09,sz50,0,12,0,2,0,1
2021-04-12,all,335,867,192,225,75,154
2021-04-12,zz500,52,117,30,41,17,26
