date,融资余额,融资买入额,融资偿还额,融资净买入,融券余额,融券余量,融券卖出量,融券偿还量,融券净卖出,两融总额,两融差额,A股成交额,B股成交额,科创板成交额
20100331,5824813,5866316,,,24142,2900,3100,,,5848955,5800671,122455748342.0,365640067.0,
20100401,6842114,1054024,36723.0,1017301.0,17325,2200,0,700.0,-700.0,6859439,6824789,153569686557.0,515039987.0,
20100402,6762781,207516,286849.0,-79333.0,11929,1500,0,700.0,-700.0,6774710,6750852,150647493391.0,428310741.0,
20100406,10091243,3329461,999.0,3328462.0,10267,1400,0,100.0,-100.0,10101510,10080976,143949466592.0,303713015.0,
20100407,25086826,15141395,145812.0,14995583.0,38418,2800,1400,0.0,1400.0,25125244,25048408,126435507186.0,445020570.0,
20100408,30233781,5147142,187.0,5146955.0,10110,1400,0,1400.0,-1400.0,30243891,30223671,141846605678.0,482259945.0,
20100409,50663640,22077191,1647332.0,20429859.0,10197,1400,0,0.0,0.0,50673837,50653443,133531230992.0,632492800.0,
20100412,89060984,40376602,1979258.0,38397344.0,10092,1400,5000,5000.0,0.0,89071076,89050892,174674556389.0,735135022.0,
20100413,92169145,17444196,14336035.0,3108161.0,211445,5200,3900,100.0,3800.0,92380590,91957700,184201759612.0,574317456.0,
20100414,89480507,7964900,10653538.0,-2688638.0,212231,5100,0,100.0,-100.0,89692738,89268276,137642795958.0,350926556.0,
20100415,103099287,20916787,7298007.0,13618780.0,271214,6200,1100,0.0,1100.0,103370501,102828073,136586821958.0,343457377.0,
20100416,121064474,25841176,7875989.0,17965187.0,1198858,24500,19300,1000.0,18300.0,122263332,119865616,102735974511.0,261784862.0,
20100419,112783831,8395193,16675836.0,-8280643.0,1031561,22000,1500,4000.0,-2500.0,113815392,111752270,155841194427.0,553236920.0,
20100420,116673356,5706716,1817191.0,3889525.0,1638860,33400,525900,514500.0,11400.0,118312216,115034496,124510497516.0,356447127.0,
20100421,127565065,14384413,3492704.0,10891709.0,2513143,110300,97300,20400.0,76900.0,130078208,125051922,145671000371.0,376369222.0,
20100422,157219058,32603174,2949181.0,29653993.0,2932237,135400,192400,167300.0,25100.0,160151295,154286821,153245392710.0,400175363.0,
20100423,152902064,17574818,21891812.0,-4316994.0,2830321,137600,15700,13500.0,2200.0,155732385,150071743,135456999196.0,554800642.0,
20100426,182090321,35141973,5953716.0,29188257.0,11042183,278900,193800,52500.0,141300.0,193132504,171048138,115854866925.0,557019109.0,
20100427,202494937,29621581,9216965.0,20404616.0,2758191,142500,76000,212400.0,-136400.0,205253128,199736746,130690557933.0,609866797.0,
20100428,223249365,31144701,10390273.0,20754428.0,2709735,136600,2100,8000.0,-5900.0,225959100,220539630,104499317462.0,522658899.0,
20100429,233030157,27561491,17780699.0,9780792.0,2847328,137763,12363,11200.0,1163.0,235877485,230182829,111720298117.0,501502973.0,
20100430,235526412,27804556,25308301.0,2496255.0,2551528,130863,20400,27300.0,-6900.0,238077940,232974884,105565783985.0,427733989.0,
20100504,242846863,21944030,14623579.0,7320451.0,3519010,200763,116400,46500.0,69900.0,246365873,239327853,78524823342.0,276541991.0,
20100505,277495916,50597915,15948862.0,34649053.0,5144755,286963,101100,14900.0,86200.0,282640671,272351161,113545790667.0,658129558.0,
20100506,314003383,55666699,19159232.0,36507467.0,3286323,183263,15400,119100.0,-103700.0,317289706,310717060,112785914082.0,458147006.0,
20100507,309938569,48359014,52423828.0,-4064814.0,4275122,204363,59300,38200.0,21100.0,314213691,305663447,108443818016.0,419150628.0,
20100510,327370089,36414703,18983183.0,17431520.0,6273327,310636,181436,75163.0,106273.0,333643416,321096762,95134907113.0,420287804.0,
20100511,350667983,47067392,23769498.0,23297894.0,6053063,302868,144200,151968.0,-7768.0,356721046,344614920,100818270915.0,174185908.0,
20100512,376113669,43090277,17644591.0,25445686.0,6718753,357000,246200,192068.0,54132.0,382832422,369394916,90160810499.0,432687443.0,
20100513,393357604,43516642,26272707.0,17243935.0,8409102,420400,156800,93400.0,63400.0,401766706,384948502,90473537212.0,350629671.0,
20100514,415983876,43883229,21256957.0,22626272.0,6807124,391106,296106,325400.0,-29294.0,422791000,409176752,82335381704.0,308515533.0,
20100517,473201524,74027562,16809914.0,57217648.0,4442929,304500,24200,110806.0,-86606.0,477644453,468758595,87806227185.0,401380088.0,
20100518,467622771,32532723,38111476.0,-5578753.0,5137036,291000,135000,148500.0,-13500.0,472759807,462485735,84304001149.0,406718071.0,
20100519,475810742,28129781,19941810.0,8187971.0,5307357,374900,224067,140167.0,83900.0,481118099,470503385,76521500561.0,208961041.0,
20100520,486806982,32023540,21027300.0,10996240.0,9010047,768093,727990,334797.0,393193.0,495817029,477796935,71738426426.0,289042368.0,
20100521,503728469,51052980,34131493.0,16921487.0,8942658,389690,346500,724903.0,-378403.0,512671127,494785811,86733653594.0,297119530.0,
20100524,534671504,76158631,45215596.0,30943035.0,14057930,1559490,1226200,56400.0,1169800.0,548729434,520613574,121325317884.0,477728304.0,
20100525,562759014,56337279,28249769.0,28087510.0,10017758,485200,146900,1221190.0,-1074290.0,572776772,552741256,101525798027.0,290239535.0,
20100526,565966886,17672866,14464994.0,3207872.0,9060668,474000,48300,59500.0,-11200.0,575027554,556906218,74870962324.0,339141959.0,
20100527,604281887,69689203,31374202.0,38315001.0,5436101,310600,26200,189600.0,-163400.0,609717988,598845786,96278588344.0,291191093.0,
20100528,633696229,56487576,27073234.0,29414342.0,4162822,239300,45000,116300.0,-71300.0,637859051,629533407,98506135587.0,245417842.0,
20100531,629837529,37471239,41329939.0,-3858700.0,10343585,1974600,1810900,75600.0,1735300.0,640181114,619493944,86987670740.0,231495210.0,
20100601,639998626,41486233,31325136.0,10161097.0,12838683,2343493,435931,67038.0,368893.0,652837309,627159943,79611740576.0,267269558.0,
20100602,653397284,27207650,13808992.0,13398658.0,12525827,2342631,44600,45462.0,-862.0,665923111,640871457,69539831185.0,158183926.0,
20100603,675126222,38752924,17023986.0,21728938.0,14194808,2434617,147786,55800.0,91986.0,689321030,660931414,74221255814.0,241178239.0,
20100604,680721701,31729497,26134018.0,5595479.0,14822564,2472131,119400,81886.0,37514.0,695544265,665899137,60421824898.0,286366614.0,
20100607,685693950,28140634,23168385.0,4972249.0,6756505,281931,98200,2288400.0,-2190200.0,692450455,678937445,69962288217.0,258758701.0,
20100608,697311113,34230923,22613760.0,11617163.0,4737840,241031,87500,128400.0,-40900.0,702048953,692573273,69040734593.0,315874179.0,
20100609,785253681,126771313,38828745.0,87942568.0,9413470,409431,281700,113300.0,168400.0,794667151,775840211,102302973742.0,402608530.0,
20100610,793255677,41796850,33794854.0,8001996.0,7456056,347231,105400,167600.0,-62200.0,800711733,785799621,80300915589.0,268373450.0,
20100611,782619926,44972146,55607897.0,-10635751.0,7216554,334618,56218,68831.0,-12613.0,789836480,775403372,73721430882.0,304332818.0,
20100617,802191743,35258695,15686878.0,19571817.0,6931429,334518,41900,42000.0,-100.0,809123172,795260314,61497549856.0,239579951.0,
