date,融资余额,融资买入额,融资偿还额,融资净买入,融券余额,融券余量,融券卖出量,融券偿还量,融券净卖出,两融总额,两融差额,A股成交额,B股成交额,中小板成交额,创业板成交额
2010-03-31,670796.0,684569.0,,,70895.0,3900.0,4000.0,,,741691.0,599901.0,49691694145.0,238632738.0,38100151496.0,7998373282.0
2010-04-01,,,,,,,,,,,,66435024091.0,467504279.0,42561830459.0,10509635582.0
2010-04-02,,,,,,,,,,,,68269285129.0,419571911.0,39087823213.0,6486808516.0
2010-04-06,,,,,,,,,,,,67347593243.0,464984312.0,35186911894.0,6351458126.0
2010-04-07,,,,,,,,,,,,56137821838.0,446896098.0,39460001444.0,7564909093.0
2010-04-08,14467758.0,6713260.0,-7083702.0,13796962.0,56023.0,3100.0,2100.0,2900.0,-800.0,14523781.0,14411735.0,64577258927.0,526373845.0,41907125604.0,8199851120.0
2010-04-09,19732998.0,9357095.0,4091855.0,5265240.0,108362.0,5400.0,6700.0,4400.0,2300.0,19841360.0,19624636.0,59615946506.0,602527597.0,43363000065.0,7043201408.0
2010-04-12,24813027.0,10406563.0,5326534.0,5080029.0,8100.0,1000.0,2200.0,6600.0,-4400.0,24821127.0,24804927.0,77628242717.0,577905242.0,51049955173.0,7986688009.0
2010-04-13,,,,,,,,,,,,83959292495.0,757356031.0,58943218068.0,11048057215.0
2010-04-14,,,,,,,,,,,,68744236654.0,509558923.0,34632703524.0,5492566067.0
2010-04-15,47980287.0,16607172.0,-6560088.0,23167260.0,97676.0,5200.0,4200.0,0.0,4200.0,48077963.0,47882611.0,66902573027.0,508556811.0,36122044942.0,7726155683.0
2010-04-16,,,,,,,,,,,,51868504611.0,458870435.0,27130243757.0,4875854634.0
2010-04-19,73074834.0,16786557.0,-8307990.0,25094547.0,1388049.0,72900.0,118600.0,50900.0,67700.0,74462883.0,71686785.0,76825734733.0,716851194.0,33839287234.0,5335152410.0
2010-04-20,,,,,,,,,,,,64529988820.0,500474481.0,31330567028.0,5618036376.0
2010-04-21,75487129.0,6181261.0,3768966.0,2412295.0,533090.0,21000.0,10000.0,61900.0,-51900.0,76020219.0,74954039.0,72905113092.0,632337308.0,40131272466.0,11731588241.0
2010-04-22,98603964.0,24706394.0,1589559.0,23116835.0,513260.0,20300.0,3200.0,3900.0,-700.0,99117224.0,98090704.0,74206128268.0,515451859.0,42448134422.0,9325579406.0
2010-04-23,107953879.0,16616329.0,7266414.0,9349915.0,374180.0,21000.0,10100.0,9400.0,700.0,108328059.0,107579699.0,67845121203.0,589620440.0,41169877995.0,7903612526.0
2010-04-26,109584858.0,8683319.0,7052340.0,1630979.0,1362953.0,69700.0,48700.0,0.0,48700.0,110947811.0,108221905.0,56601155830.0,375902016.0,35215115285.0,6768163101.0
2010-04-27,117633440.0,11710150.0,3661568.0,8048582.0,1541466.0,84100.0,18400.0,4000.0,14400.0,119174906.0,116091974.0,59614787962.0,517479736.0,34553275688.0,8817652282.0
2010-04-28,130122826.0,14705894.0,2216508.0,12489386.0,1759408.0,96800.0,50700.0,38000.0,12700.0,131882234.0,128363418.0,47886466445.0,350516707.0,27801558725.0,6190201467.0
2010-04-29,134552434.0,8192481.0,3762873.0,4429608.0,2147730.0,108800.0,13000.0,1000.0,12000.0,136700164.0,132404704.0,50533913196.0,332762022.0,30927985207.0,5557761107.0
2010-04-30,145916942.0,18487739.0,7123231.0,11364508.0,824807.0,39300.0,5200.0,74700.0,-69500.0,146741749.0,145092135.0,47061544928.0,390143757.0,27375321790.0,9199840933.0
2010-05-04,152252123.0,10960784.0,4625603.0,6335181.0,1128695.0,63100.0,36300.0,12500.0,23800.0,153380818.0,151123428.0,35282307325.0,269627493.0,18682019106.0,5810610046.0
2010-05-05,198213696.0,52075889.0,6114316.0,45961573.0,943571.0,48300.0,6300.0,21100.0,-14800.0,199157267.0,197270125.0,47199927593.0,398726767.0,25326754683.0,5928912507.0
2010-05-06,216307335.0,37006705.0,18913066.0,18093639.0,1021638.0,44200.0,26000.0,30100.0,-4100.0,217328973.0,215285697.0,49955822549.0,496885434.0,32342803698.0,6481431822.0
2010-05-07,217461595.0,13388918.0,12234658.0,1154260.0,1084070.0,47409.0,6409.0,3200.0,3209.0,218545665.0,216377525.0,45524305679.0,527506311.0,27667647587.0,6598379359.0
2010-05-10,226993903.0,17186304.0,7653996.0,9532308.0,1204576.0,50809.0,9300.0,5900.0,3400.0,228198479.0,225789327.0,41966851490.0,385821426.0,23652706228.0,5565353799.0
2010-05-11,238665335.0,19447190.0,7775758.0,11671432.0,1284209.0,57809.0,9000.0,2000.0,7000.0,239949544.0,237381126.0,42709309876.0,342300921.0,24992135736.0,4773370184.0
2010-05-12,239338755.0,10026695.0,9353275.0,673420.0,1637752.0,70109.0,29100.0,16800.0,12300.0,240976507.0,237701003.0,36661446277.0,257669410.0,20540152556.0,4119521457.0
2010-05-13,239722133.0,9782955.0,9399577.0,383378.0,1416380.0,61009.0,7300.0,16400.0,-9100.0,241138513.0,238305753.0,37351332228.0,279852379.0,20567790286.0,3655957179.0
2010-05-14,245379596.0,15697310.0,10039847.0,5657463.0,3735181.0,125209.0,92000.0,27800.0,64200.0,249114777.0,241644415.0,34710237931.0,211702518.0,21125819502.0,3572826432.0
2010-05-17,257360668.0,21421807.0,9440735.0,11981072.0,2605978.0,93019.0,26700.0,58890.0,-32190.0,259966646.0,254754690.0,35362911302.0,353913155.0,19220065349.0,3692938333.0
