date,inflow,purchase,inflow_mean,inflow_bias,inflow_Q60,inflow_Q120,inflow_Q200,purchase_mean,purchase_bias,purchase_Q60,purchase_Q120,purchase_Q200
2014-11-17,130.0,120.8233,,,,,,,,,,
2014-11-18,178.45,168.02,,,,,,,,,,
2014-11-19,204.57,192.98770000000002,,,,,,,,,,
2014-11-20,227.33,214.40709999999999,,,,,,,,,,
2014-11-21,250.74,236.40240000000003,,,,,,,,,,
2014-11-24,320.3,294.9671,,,,,,,,,,
2014-11-25,348.83,322.4674,,,,,,,,,,
2014-11-26,381.78,354.39349999999996,,,,,,,,,,
2014-11-27,411.68,383.0801,,,,,,,,,,
2014-11-28,435.13,405.5423,,,,,,,,,,
2014-12-01,449.11,418.7205,,,,,,,,,,
2014-12-02,482.22,449.87379999999996,,,,,,,,,,
2014-12-03,520.83,486.7228,,,,,,,,,,
2014-12-04,556.04,520.3126,,,,,,,,,,
2014-12-05,581.71,544.8083,,,,,,,,,,
2014-12-08,598.48,558.9682,,,,,,,,,,
2014-12-09,610.07,569.2101,,,,,,,,,,
2014-12-10,629.48,587.5744,,,,,,,,,,
2014-12-11,640.22,596.7221,,,,,,,,,,
2014-12-12,658.84,613.6466,430.79049999999995,52.93744871346979,,,,401.98251500000003,52.655047695295906,,,
2014-12-15,669.52,623.0081,453.5266428571428,47.62528520532658,,,,423.0325707142857,47.27189893394211,,,
2014-12-16,682.7,635.2665000000001,475.35267687074827,43.61968138987277,,,,443.24532588435375,43.32164670490991,,,
2014-12-17,689.18,640.1573000000001,495.7171838354389,39.026852905866605,,,,461.99884722870104,38.562531885086315,,,
2014-12-18,708.26,658.4561,515.9593568034924,37.27050215502672,,,,480.70906177834854,36.97601155345171,,,
2014-12-19,718.97,667.0783,535.2937037745884,34.31318076977746,,,,498.4585130375534,33.828249002087546,,,
2014-12-22,733.25,680.3166,554.1466843674847,32.32056072607344,,,,515.7783308435007,31.90096584465158,,,
2014-12-23,739.78,686.1834,571.8260477610576,29.371511300779957,,,,532.0073850488816,28.98005164664255,,,
2014-12-29,747.28,692.8746000000001,588.5359479742901,26.972702784273167,,,,547.3280721870833,26.592191266807035,,,
2014-12-30,740.98,685.9131,603.0544291195959,22.871164561673623,,,,560.5266462645039,22.369401092901484,,,
2014-12-31,764.1,685.7047,618.3921025367772,23.562380060401438,,,,572.4483656678846,19.78455021003991,,,
2015-01-05,810.99,705.7274000000001,636.7347594380365,27.367006116605936,,,,585.1416070328479,20.60796763002753,,,
2015-01-06,831.9,705.4959,655.3219252058425,26.945241415307848,,,,596.6039206487671,18.251971799451155,,,
2015-01-07,849.43,708.9167,673.8084085195718,26.064024915671098,,,,607.300375825075,16.732465221492674,,,
2015-01-08,860.21,709.495,691.5609410415174,24.38672414096878,,,,617.0331971750678,14.98489923204221,,,
2015-01-09,876.38,724.0268,709.1627561804205,23.579529855772236,,,,627.2230641107757,15.433701569387367,,,
2015-01-12,865.05,711.2921000000001,724.0091603537138,19.480532480746632,,,,635.2296389573685,11.974010086726494,,,
2015-01-13,863.89,708.7852,737.3311450819316,17.164452602094443,,,,642.2349304852381,10.36229366479337,,,
2015-01-14,871.1,714.7236,750.0710360265095,16.135666911582078,,,,649.1386132961678,10.103387067179327,,,
2015-01-15,881.18,721.7759,762.5576040239848,15.555860350752468,,,,656.0564501251042,10.017346809464883,,,
2015-01-16,885.4,723.0435000000001,774.2568798312244,14.354812086784818,,,,662.4361691608086,9.149157860140761,,,
2015-01-19,882.13,719.6129,784.5305103234888,12.440496372316673,,,,667.8815720978745,7.745583957292439,,,
2015-01-20,906.37,741.0652,796.1342712450613,13.846374002031439,,,,674.8514414218864,9.811605119877001,,,
2015-01-21,927.72,760.3217999999999,808.6662454121984,14.722236183744371,,,,682.9914755721829,11.32229715795981,,,
2015-01-22,930.22,761.8361,820.2427934681795,13.407884519998163,,,,690.5004874224512,10.33100104589866,,,
2015-01-23,934.46,764.4513000000001,831.1206226616862,12.433740003631087,,,,697.5434219536463,9.591930185358393,,,
2015-01-26,940.33,768.4147,841.5215157415256,11.741646815935198,,,,704.2930674818705,9.10439637683642,,,
2015-01-27,951.7,777.4482,852.0147047185231,11.699950098209811,,,,711.2602229597876,9.3057329657467,,,
2015-01-28,970.02,788.8674000000001,863.25330426914,12.367945214093595,,,,718.651382677903,9.77052560038942,,,
2015-01-29,998.88,798.622,876.1701324339838,14.005255717303513,,,,726.2676319466742,9.96249383431676,,,
2015-01-30,1017.04,798.9178999999999,889.5863102974139,14.327298905934668,,,,733.18670509461,8.965137317500592,,,
2015-02-02,1040.4012,800.7025,903.9496331262316,15.095040904199777,,,,739.6167807998853,8.25910400978887,,,
2015-02-03,1089.9812,827.7025,921.6669252094476,18.261941509108965,,,,748.0058969141819,10.654542085108943,,,
2015-02-04,1111.6512,838.6635000000001,939.7606656656907,18.29088411702662,,,,756.6399543509265,10.840498863086935,,,
2015-02-05,1149.7112,866.9963,959.7559546499106,19.79203613478795,,,,767.1500825079811,13.01521302918978,,,
2015-02-06,1165.1112,868.6029,979.3135970642048,18.97222743488716,,,,776.8122556024591,11.816322893406507,,,
