date,code,open,high,low,close,call_pos,call5,put_pos,put5
2015-02-09,50ETF,28.8,28.75687834,27.82955519,28.63,9846.0,6808.0,7456.0,5596.0
2015-02-10,50ETF,28.63,29.43502448,28.49969991,28.75,15702.0,10874.0,13100.0,9872.0
2015-02-11,50ETF,26.47071045,26.47071045,26.17669115,26.44,21530.0,15644.0,19388.0,14820.0
2015-02-12,50ETF,26.38909373,26.38909373,25.77336711,25.8,27862.0,19250.0,21524.0,16009.0
2015-02-13,50ETF,24.28695844,24.28695844,22.81047295,23.41,32644.0,22349.0,34778.0,26614.0
2015-02-16,50ETF,23.5572324,24.64325302,23.5572324,23.71,34912.0,23544.0,34380.0,25732.0
2015-02-17,50ETF,23.71,25.21948507,23.66094734,24.3,35926.0,24260.0,32900.0,24115.0
2015-02-25,50ETF,26.02026504,26.99718334,26.02026504,26.33,37912.0,25610.0,32940.0,24434.0
2015-02-26,50ETF,26.33,26.40181276,25.17344033,26.1,37648.0,25442.0,34440.0,25546.0
2015-02-27,50ETF,26.74773986,27.38392119,26.74773986,27.04,43820.0,30766.0,37510.0,27579.0
2015-03-02,50ETF,28.00992468,28.71437173,28.00992468,28.05,47448.0,33389.0,40308.0,29109.0
2015-03-03,50ETF,28.05,29.02563541,27.94587651,28.45,50236.0,35450.0,42256.0,30267.0
2015-03-04,50ETF,27.88892863,27.88892863,26.79252915,27.68,53026.0,37439.0,41352.0,29351.0
2015-03-05,50ETF,27.18037313,27.18037313,26.34940331,26.67,56978.0,40435.0,42444.0,29984.0
2015-03-06,50ETF,26.67,26.67712215,25.47715408,26.47,57324.0,40719.0,42272.0,29803.0
2015-03-09,50ETF,26.70967677,27.5712797,26.70967677,27.22,61386.0,39336.0,46030.0,31337.0
2015-03-10,50ETF,26.49327174,26.49327174,25.92336778,26.22,60124.0,40099.0,45366.0,30832.0
2015-03-11,50ETF,26.22,26.60381135,25.28856536,25.86,60584.0,40570.0,45574.0,31476.0
2015-03-12,50ETF,25.86,26.71362994,25.337463,25.93,61036.0,39480.0,47700.0,31523.0
2015-03-13,50ETF,25.6904413,25.6904413,24.75508391,25.01,61436.0,40339.0,47810.0,31242.0
2015-03-16,50ETF,25.1,25.5,24.8,25.2,63826.0,41580.0,49336.0,32051.0
2015-03-17,50ETF,25.14,25.33775776,24.91345891,25.25,64906.0,43084.0,50574.0,33361.0
2015-03-18,50ETF,25.25,25.99348836,25.02941976,25.14,66812.0,44499.0,55530.0,36403.0
2015-03-19,50ETF,27.22964781,27.8648836,27.22964781,27.3,66852.0,43371.0,54936.0,35245.0
2015-03-20,50ETF,26.9222235,26.9222235,25.94217688,26.47,65880.0,42542.0,57058.0,36190.0
2015-03-23,50ETF,28.57719713,29.07504961,28.57719713,28.76,65692.0,43442.0,58142.0,36335.0
2015-03-24,50ETF,29.94181607,30.87563509,29.94181607,30.67,68616.0,45819.0,58794.0,36867.0
2015-03-25,50ETF,30.62736925,30.62736925,29.75002232,30.16,52454.0,32922.0,37210.0,23657.0
2015-03-26,50ETF,29.96262204,29.96262204,28.16861334,29.06,55412.0,33765.0,40022.0,25227.0
2015-03-27,50ETF,29.06,29.42940392,28.64458121,29.28,59730.0,37199.0,41150.0,25807.0
2015-03-30,50ETF,28.54729816,28.54729816,27.75703106,27.87,59482.0,37152.0,44190.0,26995.0
2015-03-31,50ETF,29.61492699,30.63157221,29.61492699,30.09,63728.0,39682.0,49092.0,30252.0
2015-04-01,50ETF,30.13589969,31.09369368,30.13589969,30.36,73206.0,43210.0,57512.0,35107.0
2015-04-02,50ETF,31.36782209,32.05120712,31.36782209,31.77,81546.0,46614.0,61760.0,37013.0
2015-04-03,50ETF,31.42313782,31.42313782,30.23226982,31.17,84054.0,47546.0,66568.0,38779.0
2015-04-07,50ETF,29.78368597,29.78368597,29.44077935,29.51,84750.0,47583.0,71778.0,40319.0
2015-04-08,50ETF,31.51389885,32.5286044,31.51389885,31.98,88992.0,49659.0,79254.0,43556.0
2015-04-09,50ETF,34.45084815,35.7182652,34.45084815,35.06,95218.0,52738.0,83332.0,44971.0
2015-04-10,50ETF,33.46116818,33.46116818,33.29714224,33.41,99200.0,55270.0,87056.0,47785.0
2015-04-13,50ETF,36.66313235,37.61185543,36.66313235,36.86,105096.0,59526.0,92702.0,50228.0
2015-04-14,50ETF,39.78601004,40.37871663,39.78601004,40.15,112402.0,63146.0,95558.0,51833.0
2015-04-15,50ETF,40.15,40.96215202,39.50877268,40.13,113402.0,64087.0,100034.0,54168.0
2015-04-16,50ETF,38.27885661,38.27885661,37.26344376,37.36,116572.0,67305.0,103734.0,56570.0
2015-04-17,50ETF,41.22013716,42.40654959,41.22013716,41.57,123560.0,70653.0,109954.0,59868.0
2015-04-20,50ETF,47.38353984,47.97246893,47.38353984,47.75,131952.0,77598.0,118468.0,66269.0
2015-04-21,50ETF,47.39448336,47.39448336,46.62562042,46.9,136860.0,80022.0,117890.0,66490.0
2015-04-22,50ETF,45.17006632,45.17006632,43.4115167,44.28,95604.0,51023.0,58620.0,33321.0
2015-04-23,50ETF,44.28,44.90204726,44.06598625,44.72,101882.0,53279.0,65406.0,36427.0
2015-04-24,50ETF,45.01113941,46.31679563,45.01113941,45.65,109654.0,56063.0,74302.0,40724.0
2015-04-27,50ETF,45.65,45.79438752,44.74679172,44.88,106846.0,53286.0,80926.0,43309.0
2015-04-28,50ETF,46.20929773,47.24171801,46.20929773,46.59,111342.0,55332.0,89298.0,48291.0
2015-04-29,50ETF,46.59,47.20679792,46.27230548,46.61,115032.0,56358.0,94994.0,50923.0
2015-04-30,50ETF,46.61,47.12103554,45.95593757,46.55,120468.0,58043.0,97332.0,51285.0
2015-05-04,50ETF,46.55,46.66514736,45.96138324,46.13,122796.0,58600.0,102388.0,54171.0
2015-05-05,50ETF,46.13,46.39343444,44.85963903,45.46,132028.0,61498.0,109912.0,59077.0
2015-05-06,50ETF,45.46,46.30849093,45.00057234,45.55,139688.0,63904.0,116338.0,63295.0
2015-05-07,50ETF,46.613038,46.93712996,46.613038,46.78,159958.0,71624.0,118848.0,65403.0
2015-05-08,50ETF,45.17174754,45.17174754,44.85579622,44.97,178350.0,76412.0,119774.0,66504.0
2015-05-11,50ETF,45.68743689,45.81703621,45.68743689,45.78,183244.0,76133.0,121276.0,66173.0
2015-05-12,50ETF,45.78,46.60177458,45.07017081,45.97,193572.0,79447.0,129136.0,71243.0
2015-05-13,50ETF,45.97,46.97668487,45.54061677,46.03,204944.0,83864.0,133898.0,73500.0
2015-05-14,50ETF,45.54510967,45.54510967,44.53457616,44.96,206350.0,84679.0,138884.0,75962.0
2015-05-15,50ETF,42.38673176,42.38673176,40.81350396,41.44,207474.0,84193.0,137022.0,73986.0
2015-05-18,50ETF,37.56331971,37.56331971,36.56852866,37.48,221652.0,87030.0,145896.0,80891.0
2015-05-19,50ETF,37.48,38.15351345,36.4351555,37.28,228552.0,87651.0,142936.0,78045.0
2015-05-20,50ETF,41.47489891,42.42381949,41.47489891,41.52,234694.0,91869.0,145364.0,78931.0
2015-05-21,50ETF,41.66377767,42.66528827,41.66377767,42.05,238244.0,92580.0,149602.0,80877.0
2015-05-22,50ETF,42.722725,43.3516693,42.722725,43.01,229150.0,89390.0,158726.0,86774.0
2015-05-25,50ETF,45.49302963,46.06982931,45.49302963,45.8,224778.0,90180.0,165190.0,90875.0
2015-05-26,50ETF,45.8,45.85626881,44.96733825,45.81,226212.0,89207.0,173076.0,93820.0
2015-05-27,50ETF,46.84494078,47.90529927,46.84494078,46.91,182968.0,73712.0,118298.0,61463.0
2015-05-28,50ETF,46.91,47.57413735,46.35279076,46.63,195044.0,80778.0,126558.0,67019.0
2015-05-29,50ETF,46.63,47.70221034,46.34168497,47.29,207912.0,87410.0,132804.0,72299.0
2015-06-01,50ETF,47.29,48.07663201,47.06809939,47.22,217808.0,93614.0,132272.0,68257.0
2015-06-02,50ETF,47.22,48.22345871,47.08065216,47.61,226472.0,94528.0,139126.0,72286.0
2015-06-03,50ETF,47.61,48.75574287,47.25268349,47.9,234264.0,96214.0,146924.0,78026.0
2015-06-04,50ETF,47.16948803,47.16948803,46.13148697,46.57,242288.0,99711.0,162102.0,88685.0
2015-06-05,50ETF,46.57,46.93927941,45.73510443,46.6,245486.0,100214.0,168676.0,93166.0
2015-06-08,50ETF,44.58986234,44.58986234,42.82406035,43.66,215550.0,85935.0,181146.0,99084.0
2015-06-09,50ETF,47.42543515,48.47517174,47.42543515,47.55,227398.0,91207.0,182044.0,99198.0
2015-06-10,50ETF,47.77226835,48.43420333,47.77226835,48.07,236082.0,94027.0,188088.0,98632.0
2015-06-11,50ETF,48.8441555,50.05142166,48.8441555,49.74,236670.0,95851.0,201612.0,105308.0
2015-06-12,50ETF,49.74,50.35972949,48.89099623,49.76,237600.0,97920.0,209504.0,109599.0
2015-06-15,50ETF,49.04035913,49.04035913,47.44999683,48.06,237758.0,100603.0,213288.0,110444.0
2015-06-16,50ETF,47.84989794,47.84989794,46.33685471,47.27,257024.0,108605.0,211266.0,111438.0
2015-06-17,50ETF,47.27,47.4285982,47.25115944,47.31,264608.0,109299.0,203222.0,109083.0
2015-06-18,50ETF,47.31,47.61313125,46.15045896,47.08,272892.0,116891.0,203990.0,109613.0
2015-06-19,50ETF,47.08,47.46274257,46.46895931,46.9,303044.0,129402.0,194174.0,108371.0
2015-06-23,50ETF,51.03048518,51.51718558,51.03048518,51.17,322644.0,132198.0,177396.0,104326.0
2015-06-24,50ETF,51.64423919,52.63220576,51.64423919,52.05,195918.0,79720.0,83148.0,41913.0
2015-06-25,50ETF,47.96421329,47.96421329,46.7258765,47.42,215840.0,83227.0,93620.0,47337.0
2015-06-26,50ETF,47.9811944,48.39399038,47.9811944,48.08,270450.0,108687.0,106908.0,53267.0
2015-06-29,50ETF,59.4688357,60.18087827,59.4688357,60.09,317032.0,126808.0,112056.0,58640.0
2015-06-30,50ETF,60.09,60.11432617,58.83773034,59.21,346344.0,136489.0,115120.0,56567.0
2015-07-01,50ETF,56.58091512,56.58091512,55.10785373,55.91,360512.0,140587.0,124056.0,60270.0
2015-07-02,50ETF,57.15057074,57.55486013,57.15057074,57.54,379118.0,142248.0,130208.0,63021.0
2015-07-03,50ETF,55.21354411,55.21354411,54.29618647,55.15,399528.0,146590.0,136536.0,68708.0
2015-07-06,50ETF,59.69330017,60.16495306,59.69330017,60.08,418246.0,147841.0,140680.0,71235.0
2015-07-07,50ETF,55.41904138,55.41904138,54.56008615,54.84,415344.0,146113.0,145542.0,72977.0
2015-07-08,50ETF,52.25917888,52.25917888,50.88423105,51.7,407308.0,146772.0,140956.0,68675.0
2015-07-09,50ETF,54.9434746,55.6786451,54.9434746,55.34,419816.0,147973.0,143492.0,67905.0
2015-07-10,50ETF,54.28146797,54.28146797,53.34727392,54.02,386704.0,142894.0,148426.0,69763.0
2015-07-13,50ETF,53.70906817,53.70906817,52.34502185,52.96,387750.0,143475.0,162634.0,76032.0
2015-07-14,50ETF,50.24395473,50.24395473,48.86739996,49.31,405804.0,148637.0,177746.0,86409.0
2015-07-15,50ETF,45.62839396,45.62839396,44.73913139,45.06,409326.0,146844.0,188788.0,91585.0
2015-07-16,50ETF,41.64763137,41.64763137,41.51480784,41.63,411808.0,147893.0,180912.0,91005.0
2015-07-17,50ETF,39.60296658,39.60296658,38.59652598,39.33,403278.0,148287.0,178480.0,88103.0
2015-07-20,50ETF,39.25955442,39.25955442,37.95132922,38.73,406574.0,153304.0,192618.0,96892.0
2015-07-21,50ETF,38.73,39.3163373,37.84915761,38.79,407230.0,156794.0,194448.0,96796.0
2015-07-22,50ETF,35.45555303,35.45555303,34.35578544,35.26,234712.0,94718.0,125752.0,61883.0
2015-07-23,50ETF,33.53218873,33.53218873,32.04224021,32.98,250420.0,101445.0,135024.0,65099.0
2015-07-24,50ETF,32.98,33.5834777,32.26352277,33.09,268988.0,107368.0,158912.0,75749.0
2015-07-27,50ETF,30.79137496,30.79137496,29.91275994,30.41,291692.0,117119.0,177918.0,89042.0
2015-07-28,50ETF,39.02840435,40.25937183,39.02840435,39.52,314614.0,121023.0,176108.0,85684.0
2015-07-29,50ETF,40.94364818,42.03347651,40.94364818,41.79,328178.0,126395.0,177224.0,84772.0
2015-07-30,50ETF,38.39189484,38.39189484,37.19599913,37.43,342888.0,137940.0,189596.0,92244.0
2015-07-31,50ETF,39.25392191,40.61823529,39.25392191,40.17,357198.0,143718.0,186534.0,90218.0
2015-08-03,50ETF,40.38079415,40.96797445,40.38079415,40.45,370928.0,148578.0,187262.0,89465.0
2015-08-04,50ETF,40.43171041,40.43171041,39.16305503,40.02,380102.0,153066.0,191540.0,89127.0
2015-08-05,50ETF,40.13125666,40.59708601,40.13125666,40.26,408802.0,161882.0,192358.0,92780.0
2015-08-06,50ETF,40.66257646,42.24380443,40.66257646,41.51,429334.0,171323.0,199472.0,96835.0
2015-08-07,50ETF,41.18205829,41.18205829,39.86537864,40.79,432380.0,170140.0,197926.0,96481.0
2015-08-10,50ETF,40.79,41.38627273,40.71941213,40.75,436968.0,182776.0,209214.0,103056.0
2015-08-11,50ETF,40.75,40.8667196,39.80121626,40.18,442406.0,189639.0,220836.0,105316.0
2015-08-12,50ETF,39.87047217,39.87047217,38.94666744,39.83,447454.0,189914.0,224522.0,107151.0
2015-08-13,50ETF,39.72555956,39.72555956,39.18755486,39.61,453614.0,191785.0,229122.0,110690.0
2015-08-14,50ETF,39.61,40.23703946,38.91154922,39.65,460132.0,194710.0,243202.0,118486.0
2015-08-17,50ETF,39.84230376,40.81285374,39.84230376,40.06,468082.0,200364.0,244500.0,119223.0
2015-08-18,50ETF,39.40969389,39.40969389,38.23395061,39.07,479318.0,216698.0,246888.0,119365.0
2015-08-19,50ETF,37.57849785,37.57849785,36.96542835,37.42,493386.0,221330.0,228148.0,110640.0
2015-08-20,50ETF,37.8629664,38.25209273,37.8629664,38.03,527518.0,245127.0,242788.0,114865.0
2015-08-21,50ETF,35.27412977,35.27412977,35.05752529,35.2,560132.0,258690.0,233606.0,116017.0
2015-08-24,50ETF,32.0,36.12646039,32.0,35.61,595196.0,271414.0,211116.0,110324.0
2015-08-25,50ETF,37.0,48.82087086,37.0,48.34,644200.0,285425.0,219258.0,113185.0
2015-08-26,50ETF,48.0,64.69670833,48.0,63.79,462754.0,217364.0,189324.0,92975.0
2015-08-27,50ETF,61.41955623,61.41955623,60.37144696,61.14,492720.0,226582.0,200444.0,99500.0
2015-08-28,50ETF,61.14,61.99930376,60.25597101,61.16,493346.0,231794.0,227842.0,108352.0
2015-08-31,50ETF,62.19373536,62.2898175,62.19373536,62.28,502836.0,235003.0,244674.0,116819.0
2015-09-01,50ETF,63.21417152,63.60383397,63.21417152,63.33,505386.0,233809.0,263676.0,124863.0
2015-09-02,50ETF,61.60243146,61.60243146,60.73821661,60.88,522084.0,239410.0,275684.0,128228.0
