日期,沪深300,中证500,中证500ETF,中证1000,中证1000ETF,国证2000,长周期指数,强弱指数,顶部指数,底部指数
2019-01-02,2969.54,4131.96,3.85,4408.53,2.4,4969.8,9.9,39.6,,
2019-01-03,2964.84,4112.81,3.84,4376.86,2.4,4945.61,12.05,39.6,,
2019-01-04,3035.87,4210.88,3.94,4497.89,2.4,5072.21,28.28,41.4,,
2019-01-07,3054.3,4288.32,4.01,4594.15,2.4,5184.98,46.07,45.6,,
2019-01-08,3047.7,4277.3,4.0,4585.03,2.4,5180.1,43.02,48.3,,
2019-01-09,3078.48,4288.77,4.0,4594.74,2.4,5194.47,57.86,70.6,,
2019-01-10,3072.69,4281.86,4.01,4582.48,2.4,5187.94,54.49,58.9,,
2019-01-11,3094.78,4314.88,4.03,4621.61,2.4,5233.33,52.19,51.0,,
2019-01-14,3067.78,4286.55,4.01,4594.19,2.4,5212.11,39.04,52.5,,
2019-01-15,3127.99,4347.36,4.06,4644.17,2.4,5262.73,59.48,56.6,,
2019-01-16,3128.65,4336.88,4.06,4637.2,2.4,5246.57,63.09,53.4,,
2019-01-17,3111.42,4303.73,4.03,4595.49,2.4,5194.02,64.64,51.8,,
2019-01-18,3168.17,4347.81,4.07,4626.41,2.4,5211.9,76.45,62.9,,
2019-01-21,3185.64,4373.63,4.08,4655.11,2.4,5243.27,82.41,62.9,,
2019-01-22,3143.32,4308.25,4.02,4603.2,2.4,5196.67,70.69,49.2,,
2019-01-23,3141.05,4315.68,4.03,4609.67,2.4,5212.54,65.04,39.1,,
2019-01-24,3158.78,4338.17,4.06,4635.75,2.4,5234.89,71.34,44.7,,
2019-01-25,3184.47,4318.44,4.04,4607.94,2.4,5194.52,81.38,60.9,,
2019-01-28,3183.78,4307.22,4.02,4570.4,2.4,5153.44,82.05,54.9,,
2019-01-29,3193.97,4254.29,3.97,4490.05,2.4,5046.68,76.75,51.0,,
2019-01-30,3168.48,4211.62,3.94,4423.14,2.4,4963.23,70.66,48.0,,
2019-01-31,3201.63,4176.47,3.91,4355.74,2.4,4876.09,71.1,49.3,,
2019-02-01,3247.4,4294.27,4.03,4482.99,2.4,5005.9,73.71,45.3,,
2019-02-11,3306.47,4402.87,4.12,4611.83,2.4,5141.08,78.55,60.9,,
2019-02-12,3330.34,4439.48,4.14,4675.79,2.4,5214.09,93.0,80.1,,
2019-02-13,3397.03,4512.41,4.22,4759.83,2.4,5303.78,96.73,73.9,,
2019-02-14,3402.14,4532.17,4.23,4780.04,2.4,5334.09,98.42,68.5,,
2019-02-15,3338.7,4502.73,4.2,4773.51,2.4,5333.52,94.82,76.2,,
2019-02-18,3445.74,4661.0,4.37,4942.88,2.4,5512.24,99.66,80.2,,
2019-02-19,3439.61,4667.28,4.35,4963.75,2.4,5536.95,98.65,80.3,,
2019-02-20,3451.93,4667.62,4.34,4967.04,2.4,5550.2,98.42,80.2,,
2019-02-21,3442.71,4659.14,4.35,4947.66,2.4,5535.96,98.76,80.3,,
2019-02-22,3520.12,4777.3,4.48,5059.51,2.4,5656.63,99.66,80.7,,
