交易日期,开盘点位,最高点位,最低点位,收盘价,涨跌,涨跌幅(%),成交量(万股),成交额(万)
2023-08-22,4775.69,4794.05,4707.01,4785.82,30.7,0.65,6964407.17,81928795.79
2023-08-21,4799.6,4822.75,4755.12,4755.12,-55.22,-1.15,5877497.5,67894455.91
2023-08-18,4882.09,4895.78,4810.34,4810.34,-71.64,-1.47,6588835.32,74553560.62
2023-08-17,4830.02,4886.92,4803.85,4881.98,33.39,0.69,6445091.45,74063183.66
2023-08-16,4874.37,4894.86,4848.47,4848.6,-43.42,-0.89,6160170.1,70498482.82
2023-08-15,4918.07,4924.36,4850.26,4892.02,-24.08,-0.49,6060212.54,70702643.38
2023-08-14,4879.25,4918.07,4851.28,4916.1,-10,-0.2,6456957.56,74250851.66
2023-08-11,5030.28,5030.33,4926.1,4926.1,-100.91,-2.01,7024297.4,76429849.41
2023-08-10,5010.28,5030.52,4995.98,5027.01,11,0.22,6103765.56,69506875.95
2023-08-09,5030.19,5042.5,5009.7,5016.01,-28.38,-0.56,6310876.64,73739043.71
2023-08-08,5052.1,5065.66,5028.77,5044.39,-17.35,-0.34,6962780.65,79974694.54
2023-08-07,5079.73,5079.73,5047,5061.73,-33.42,-0.66,7773000.84,89100303.29
2023-08-04,5100.92,5128.54,5080.82,5095.15,18.7,0.37,9574191.02,105009162
2023-08-03,5039.77,5076.56,5033.73,5076.45,23.26,0.46,8011178.88,83373903.87
2023-08-02,5063.59,5082.97,5039.03,5053.19,-22.14,-0.44,8342930.16,83695010.33
2023-08-01,5081.12,5096.86,5058.24,5075.33,-9.71,-0.19,9413723.16,95761019.01
2023-07-31,5068.53,5118.57,5068.53,5085.04,36.6,0.73,9944706.17,110618170
2023-07-28,4956.41,5055.45,4946.41,5048.44,79.36,1.6,8810950.45,94944139.83
2023-07-27,4993.77,5014.25,4961.13,4969.08,-20.99,-0.42,7476016.29,78097574.39
2023-07-26,5003.44,5003.48,4977.48,4990.07,-18.24,-0.36,7328504.64,79308552
2023-07-25,4959.21,5008.31,4959.21,5008.31,107.75,2.2,7873505.67,94909039.85
2023-07-24,4898.53,4931.45,4886.04,4900.56,-12.4,-0.25,5707303.83,65997714.44
2023-07-21,4910.55,4945.6,4897.98,4912.96,-4.69,-0.1,5981338.36,71222428.76
2023-07-20,4972.42,4985.53,4912.28,4917.65,-48.06,-0.97,6259038.22,78763990.93
2023-07-19,4967.72,4984.37,4940.38,4965.71,-6.8,-0.14,5462351.37,70360848.1
2023-07-18,4987.57,4992.74,4961.06,4972.51,-10.11,-0.2,5982482.42,77836705.07
2023-07-17,4991.58,4991.58,4959.93,4982.62,-24.37,-0.49,6144420.61,80386957.03
2023-07-14,5013.97,5022.22,5003.61,5006.99,0.3,0.01,6758364.31,92423551.42
2023-07-13,4957.26,5009.72,4957.14,5006.68,66.75,1.35,6733006.44,92208631.7
2023-07-12,4986.97,4991.64,4935.22,4939.93,-47.58,-0.95,6880844.88,91328980
2023-07-11,4961.16,4987.51,4948.3,4987.51,35.74,0.72,5791502.48,77469112.3
2023-07-10,4954.47,4973.56,4935.65,4951.77,13.93,0.28,5817297.31,76290978.15
2023-07-07,4951.36,4964.04,4925.13,4937.84,-25.23,-0.51,6410881.82,80144952.94
2023-07-06,4972.67,5000.64,4956.01,4963.06,-19.85,-0.4,6256444.49,82141719.31
2023-07-05,5015.37,5015.39,4976.53,4982.92,-36.05,-0.72,6520797.72,86993540.63
2023-07-04,5001.52,5019.42,4992.21,5018.97,14.54,0.29,6795709.38,93096126.67
2023-07-03,4975.08,5014.08,4970.05,5004.43,42.07,0.85,7545216.33,102607376.3
2023-06-30,4913.33,4978.74,4908.48,4962.36,46.19,0.94,6713750.62,92041335.23
