date,A股成交额,B股成交额,科创板成交额
20100331,1224.55748342,3.65640067,
20100401,1535.69686557,5.15039987,
20100402,1506.47493391,4.28310741,
20100406,1439.49466592,3.03713015,
20100407,1264.35507186,4.4502057,
20100408,1418.46605678,4.82259945,
20100409,1335.31230992,6.324928,
20100412,1746.74556389,7.35135022,
20100413,1842.01759612,5.74317456,
20100414,1376.42795958,3.50926556,
20100415,1365.86821958,3.43457377,
20100416,1027.35974511,2.61784862,
20100419,1558.41194427,5.5323692,
20100420,1245.10497516,3.56447127,
20100421,1456.71000371,3.76369222,
20100422,1532.4539271,4.00175363,
20100423,1354.56999196,5.54800642,
20100426,1158.54866925,5.57019109,
20100427,1306.90557933,6.09866797,
20100428,1044.99317462,5.22658899,
20100429,1117.20298117,5.01502973,
20100430,1055.65783985,4.27733989,
20100504,785.24823342,2.76541991,
20100505,1135.45790667,6.58129558,
20100506,1127.85914082,4.58147006,
20100507,1084.43818016,4.19150628,
20100510,951.34907113,4.20287804,
20100511,1008.18270915,1.74185908,
20100512,901.60810499,4.32687443,
20100513,904.73537212,3.50629671,
20100514,823.35381704,3.08515533,
20100517,878.06227185,4.01380088,
20100518,843.04001149,4.06718071,
20100519,765.21500561,2.08961041,
20100520,717.38426426,2.89042368,
20100521,867.33653594,2.9711953,
20100524,1213.25317884,4.77728304,
20100525,1015.25798027,2.90239535,
20100526,748.70962324,3.39141959,
20100527,962.78588344,2.91191093,
20100528,985.06135587,2.45417842,
20100531,869.8767074,2.3149521,
20100601,796.11740576,2.67269558,
20100602,695.39831185,1.58183926,
20100603,742.21255814,2.41178239,
20100604,604.21824898,2.86366614,
20100607,699.62288217,2.58758701,
20100608,690.40734593,3.15874179,
20100609,1023.02973742,4.0260853,
20100610,803.00915589,2.6837345,
20100611,737.21430882,3.04332818,
20100617,614.97549856,2.39579951,
20100618,725.61535429,3.55595496,
20100621,813.03110593,3.90917544,
20100622,656.8798984,2.38384633,
20100623,614.81543458,4.36652695,
20100624,508.3169792,2.18585438,
20100625,514.80042324,2.11130444,
20100628,450.91347957,2.52566798,
20100629,712.40724427,5.02353519,
20100630,510.64003698,2.60019575,
20100701,464.36928556,1.62824352,
20100702,613.81454821,2.62430441,
20100705,430.82777206,1.31390885,
20100706,553.7111079,2.69056127,
20100707,524.92425181,2.32748663,
20100708,503.81326034,1.82619449,
20100709,817.39284958,3.28425524,
20100712,812.7947592,3.01129603,
20100713,633.95605339,2.45146611,
20100714,701.02727657,2.60229978,
20100715,723.424853,2.23409226,
20100716,558.93335467,1.83580954,
20100719,792.95286585,2.97976541,
20100720,1113.96943848,3.41983901,
20100721,1055.18724348,2.6975215,
20100722,955.91665619,2.43258425,
20100723,1010.46720485,3.45913001,
20100726,885.80910905,2.48249184,
20100727,850.43640689,1.97935161,
20100728,1216.07750591,4.07747074,
20100729,1309.92551666,3.1643253,
20100730,938.28010841,3.58978344,
20100802,1099.49011018,3.74458818,
20100803,1300.68941467,4.02271003,
20100804,1124.91569055,4.20103268,
20100805,1151.61431766,2.98493786,
20100806,1229.98222262,3.84570472,
20100809,1264.84664981,3.82920803,
20100810,1291.37215191,4.84418501,
20100811,887.41880956,3.1177601,
20100812,956.71116591,3.77747963,
20100813,910.44666313,3.32850578,
20100816,1305.16584744,4.19430023,
20100817,1284.19367794,3.63847264,
20100818,1286.11038649,4.2921141,
20100819,1333.28421051,3.53694734,
20100820,1196.13226778,3.40659404,
20100823,911.37956866,3.72551033,
20100824,1051.10898947,12.44338896,
20100825,1069.26140188,13.39601979,
20100826,812.55988318,5.74098037,
20100827,748.11979736,4.17196058,
20100830,1209.12908467,5.84591671,
20100831,1240.96219108,6.5752468,
20100901,1376.2549367,8.9662693,
20100902,1415.13113457,5.60830121,
20100903,1455.30364732,6.58958997,
20100906,1598.7590856,4.09264284,
20100907,1233.27647103,4.06507532,
20100908,1307.14394517,4.19761175,
20100909,1557.20479174,4.8120438,
20100910,1336.55246464,5.37524177,
20100913,1404.14639534,4.76888848,
20100914,1408.8926528,4.01282612,
20100915,1382.06175249,4.50119439,
20100916,1280.69828922,5.05722383,
20100917,945.17813776,3.41945638,
20100920,896.08967018,2.61524331,
20100921,661.1516071,2.42888445,
20100927,901.71493375,3.68919459,
20100928,1152.182914,3.01610294,
20100929,1068.27024977,3.20869321,
20100930,1068.93897099,3.90705042,
20101008,1669.43475641,8.58338635,
20101011,2532.83807839,9.48244692,
20101012,2112.64209043,6.30871894,
20101013,2279.04183984,6.16177886,
20101014,2644.11065281,7.11186069,
20101015,2723.00573593,6.61644968,
20101018,3005.11346321,7.95910199,
20101019,1995.7158043,5.31785771,
20101020,2617.27851974,7.80324424,
20101021,2046.62068395,5.23465267,
20101022,1943.15517019,6.56170141,
20101025,2512.8427092,7.64100485,
20101026,2597.68366638,7.13164711,
20101027,2302.08345506,5.93114529,
20101028,1859.54562859,5.10477263,
20101029,1942.77814801,4.44215302,
20101101,2510.61669886,8.88878772,
20101102,3067.1078361,9.81504513,
20101103,2439.86662358,6.64438781,
20101104,2284.91519921,7.63772814,
20101105,2727.92529909,9.96186528,
20101108,2582.51717824,11.50737357,
20101109,2475.30726961,9.87859491,
20101110,2491.45430433,8.37677674,
20101111,2873.26233178,9.29490835,
20101112,2971.21408357,16.4727327,
20101115,1977.64536427,9.71123829,
20101116,2206.7615094,10.87176925,
20101117,1579.47694159,8.27917099,
20101118,1272.54395575,5.64840823,
20101119,1551.19572249,6.70404348,
20101122,1620.86688128,6.96006607,
20101123,1446.76513791,7.41517709,
20101124,1492.70576996,7.34110143,
20101125,1669.44598293,7.04024778,
20101126,1432.27897811,5.34566239,
20101129,1334.98961034,5.78696493,
20101130,1724.05784309,9.6170629,
20101201,1041.12950969,4.10139238,
20101202,1318.01429337,4.4255877,
20101203,1057.51051152,3.6445467,
20101206,1107.44846355,3.62528976,
20101207,1110.09237848,3.86511201,
20101208,1103.34953598,3.53083177,
20101209,1093.62076242,2.69604962,
20101210,982.97690464,2.82494917,
20101213,1599.37266073,5.46911272,
20101214,1524.71834973,5.70922072,
20101215,1435.46478769,5.61902516,
20101216,1094.94268106,4.11609551,
20101217,935.80298653,3.12954979,
20101220,1462.74725075,6.0646877,
20101221,1361.12023845,4.67913417,
20101222,1259.45740065,3.277877,
20101223,1093.54015558,3.87433999,
20101224,955.60753915,4.27493856,
20101227,1233.27615762,4.63806027,
20101228,968.7353694,4.08837747,
20101229,760.19735548,2.88103077,
20101230,866.10063502,2.05492854,
20101231,1084.72465078,4.34134822,
20110104,1462.5171203,4.35830459,
20110105,1353.02489931,4.01311542,
20110106,1129.02777971,5.77992385,
20110107,1368.96701443,4.80822708,
20110110,1106.45167708,3.66818657,
20110111,941.2899458,3.93314387,
20110112,877.88460949,4.8952831,
20110113,877.47495451,3.33215953,
20110114,904.9172062,3.24789708,
20110117,1043.14495519,5.58153612,
20110118,673.68732344,4.11328116,
20110119,895.88496999,3.97605767,
20110120,954.76372154,3.77202603,
20110121,1025.46187253,3.82986227,
20110124,958.86856397,4.04269325,
20110125,753.94179915,2.95842966,
20110126,671.40230345,2.2709266,
20110127,1149.30350951,3.84932329,
20110128,983.03642273,2.76169445,
20110131,1066.61342785,2.93266127,
20110201,898.56042935,2.65988336,
20110209,1044.46745744,3.9811827,
20110210,1171.24694532,4.53824994,
20110211,1278.1367706,4.2247373,
20110214,1797.74864173,5.0842123,
20110215,1871.67446771,5.29503904,
20110216,1597.03653023,4.42419286,
20110217,1687.15974751,4.43241465,
20110218,1418.64991411,3.72790818,
20110221,1458.98403371,5.96842956,
20110222,1910.77160186,7.22041326,
20110223,1372.23504792,5.16078853,
20110224,1368.4610763,5.69312814,
20110225,1240.66829277,6.00909903,
20110228,1477.40311592,6.17888131,
20110301,1722.88927699,5.26353472,
20110302,1650.80361979,4.34856668,
20110303,1773.50084675,5.45164695,
20110304,1440.53210341,5.68608314,
20110307,2074.72168574,6.20980269,
20110308,1682.52071583,5.05652525,
20110309,1650.11468948,5.10964968,
20110310,1662.01073909,4.16809997,
20110311,1523.82872988,4.62821433,
20110314,1522.33904928,4.70933459,
20110315,1872.8248058,7.81672283,
20110316,1657.58033908,4.53829118,
20110317,1701.24515002,5.86092197,
20110318,1275.12199872,3.67803493,
20110321,1222.41449856,3.2342571,
20110322,1199.0918234,3.16080437,
20110323,1386.65822033,3.37316538,
20110324,1371.03854345,3.87050877,
20110325,1705.23342466,6.87969205,
20110328,1958.24339097,5.95313447,
20110329,1991.19649664,7.16149103,
20110330,1533.85880854,3.72117771,
20110331,1342.23172798,4.24290322,
20110401,1255.25244613,3.69982248,
20110406,1766.09276974,4.60050583,
20110407,1528.24971087,4.36349424,
20110408,1468.00657468,3.95803001,
20110411,1826.29306712,5.61533763,
20110412,1651.38910924,4.66613436,
20110413,1472.59062522,4.64341065,
20110414,1481.77219887,5.23870426,
20110415,1484.27811204,5.58724932,
20110418,1601.90450195,6.63593422,
20110419,1658.06849164,5.86585057,
20110420,1436.43281655,4.19620685,
20110421,1495.89798804,3.72374415,
20110422,1397.87984746,3.68032715,
20110425,1402.9271493,4.05204192,
20110426,1122.86002808,3.11394955,
20110427,1141.21827847,9.64055983,
20110428,1151.30750503,10.36680398,
20110429,928.21012308,4.95389119,
20110503,1075.50004203,3.90940041,
20110504,1251.47680548,3.80128613,
20110505,987.11428146,2.38897529,
20110506,1050.50431172,3.58350709,
20110509,937.86178757,2.96367092,
20110510,982.54043037,3.05330724,
20110511,1068.96044503,3.60165914,
20110512,1141.20667756,3.03947041,
20110513,1036.84173201,2.67363369,
20110516,956.37389908,2.24430684,
20110517,1096.44253979,3.07042263,
20110518,902.66533391,1.94740649,
20110519,911.00757078,1.98121298,
20110520,839.07195467,1.8363822,
20110523,1110.49724327,4.04538229,
20110524,887.94081114,2.55977394,
20110525,860.48344643,2.89354153,
20110526,929.87022248,2.64903618,
20110527,916.75140507,3.18461883,
20110530,709.72363326,2.1683951,
20110531,777.71321584,3.39116784,
20110601,774.24815692,2.28288196,
20110602,941.10143808,2.45570607,
20110603,782.64385533,1.68803209,
20110607,790.25803358,1.88117126,
20110608,872.87395439,2.88367585,
20110609,950.63405527,5.92983935,
20110610,827.74950598,7.1639845,
20110613,729.18921672,3.43036514,
20110614,950.17475801,3.50592613,
20110615,854.28768647,2.3697481,
20110616,764.64824694,2.03426565,
20110617,741.83740757,2.64577848,
20110620,650.71120244,2.3784944,
20110621,731.69141742,2.63593152,
20110622,644.70622152,2.89278546,
20110623,822.08349025,3.19327046,
20110624,1423.61535714,4.28924543,
20110627,1160.90945732,2.61389449,
20110628,1040.78766857,2.39436067,
20110629,993.55205433,2.20241976,
20110630,1032.21420139,2.69116232,
20110701,1053.56353346,1.87990666,
20110704,1436.16857336,3.4820219,
20110705,1285.62546888,3.93953298,
20110706,1224.61075484,2.90244772,
20110707,1399.34074772,3.57900953,
20110708,1025.96081886,3.07207293,
20110711,1014.27309779,3.23999656,
20110712,1111.73387749,4.81467719,
20110713,1075.37362003,3.64202955,
20110714,1257.23118602,3.70815114,
20110715,1280.04997888,2.82379866,
20110718,1293.54717992,2.76762222,
20110719,1100.81783026,2.64815721,
20110720,996.235186,2.51865042,
20110721,958.34356333,2.19593618,
20110722,824.29416164,2.19858354,
20110725,1204.27061684,4.47233464,
20110726,794.437821,2.14437833,
20110727,919.52931886,2.54877321,
20110728,903.24090851,2.50399133,
20110729,835.71550253,2.25110676,
20110801,660.15286074,1.86238283,
20110802,778.1692164,2.44254455,
20110803,733.60922142,1.96589446,
20110804,693.21891671,2.43518006,
20110805,874.98567571,4.53278397,
20110808,1169.47039444,6.52800062,
20110809,1072.95711771,4.55261333,
20110810,1037.58603514,3.16666222,
20110811,999.81745635,2.42392462,
20110812,999.52693746,2.56767669,
20110815,909.42419051,1.85638565,
20110816,903.91822668,2.19369102,
20110817,720.6163165,1.83464858,
20110818,768.90223552,1.58405022,
20110819,735.34464899,2.37436799,
20110822,653.48024666,2.13327326,
20110823,630.71687188,2.18656216,
20110824,705.98924782,1.93989283,
20110825,1046.29118986,2.53725746,
20110826,814.95000291,1.0823215,
20110829,797.32613904,1.31871902,
20110830,799.47687891,1.69021591,
20110831,621.84232228,2.06066628,
20110901,599.05312124,2.51698164,
20110902,559.19871012,1.53802142,
20110905,563.04848101,1.39526246,
20110906,500.3033296,1.16435324,
20110907,619.30780959,1.54938259,
20110908,599.63300322,1.14085453,
20110909,534.82335161,0.97798137,
20110913,519.28229328,1.22443676,
20110914,548.77281878,1.50988628,
20110915,557.73764806,1.62396038,
20110916,495.30435607,1.19809427,
20110919,486.2804445,1.26657755,
20110920,480.02479495,1.02921176,
20110921,880.88505298,2.53301025,
20110922,747.88301582,1.90281374,
20110923,677.96459668,1.9846809,
20110926,587.61018136,2.06775641,
20110927,554.75490582,1.55994105,
20110928,557.06664716,1.37371717,
20110929,570.553101,1.49691456,
20110930,459.93433075,1.2017542,
20111010,399.0217805,1.06299691,
20111011,626.4991998,2.15143351,
20111012,843.36881332,4.08984507,
20111013,821.43297581,2.51144178,
20111014,583.93308956,1.33097694,
20111017,576.05765237,1.30026787,
20111018,695.15520975,1.55626395,
20111019,531.61251967,1.07298426,
20111020,578.32337902,1.69223616,
20111021,438.39424544,0.82603021,
20111024,628.16330934,1.7780014,
20111025,836.31512403,2.1381237,
20111026,984.83766302,2.36955751,
20111027,751.62409916,2.13371518,
20111028,1040.13795456,2.95079954,
20111031,815.88239364,2.20519239,
20111101,855.04804285,1.95242935,
20111102,1023.1441206,2.53681472,
20111103,1369.88643309,3.07154805,
20111104,1001.77535793,2.16530247,
20111107,795.4557606,1.40702515,
20111108,772.38714975,1.32574946,
20111109,781.11353743,1.94498767,
20111110,859.30439115,1.7278077,
20111111,651.46666756,1.07228544,
20111114,825.34969901,2.06403417,
20111115,805.058873,1.77820193,
20111116,924.79969946,2.4143595,
20111117,661.51353111,1.63709625,
20111118,711.56491299,2.20761066,
20111121,495.99768042,1.27058106,
20111122,505.58334446,1.34967708,
20111123,501.70690969,1.22873866,
20111124,516.6860678,1.11931468,
20111125,467.44633298,1.31610659,
20111128,465.25772067,1.04139024,
20111129,575.77011349,1.51469755,
20111130,718.79125982,5.1085606,
