date,主板A股,主板B股,中小板,创业板
20100104,52585737000.0,293987298.0,27600157714.0,1873197493.0
20100105,68674440036.0,442970366.0,31044016843.0,2387804530.0
20100106,70107359539.0,518632045.0,30182810226.0,2297823193.0
20100107,71483207404.0,469870506.0,30274273952.0,2099494381.0
20100108,55388634141.0,381125522.0,22162615288.0,5319272206.0
20100111,66378979185.0,440540654.0,30135358262.0,3413768759.0
20100112,73363737902.0,509064136.0,37811301140.0,2925480450.0
20100113,81880119883.0,497348558.0,40208117386.0,3060248925.0
20100114,74918516950.0,526254189.0,39245171814.0,4387339262.0
20100115,66346787594.0,428693960.0,36358018236.0,3018105966.0
20100118,71574566865.0,442903825.0,32899129558.0,2280863586.0
20100119,70898373689.0,389541933.0,33276921312.0,2337425880.0
20100120,83081036057.0,631737129.0,38804575233.0,6667735987.0
20100121,56080898508.0,408081147.0,24263658873.0,2863009941.0
20100122,63050411223.0,534607092.0,28228538402.0,3554054761.0
20100125,39030656751.0,259344629.0,17260344913.0,2140034538.0
20100126,45357455901.0,414036298.0,22431663641.0,2590050528.0
20100127,38898973914.0,275953141.0,17634639757.0,2263153251.0
20100128,38194373214.0,253430502.0,18107017045.0,2346005967.0
20100129,45683406074.0,261689005.0,20121234850.0,2366815825.0
20100201,47929482355.0,282042278.0,19203887694.0,5438827405.0
20100202,42211863891.0,242702611.0,17526757353.0,2851580166.0
20100203,55273386651.0,297257940.0,21494119519.0,2612590005.0
20100204,58701893953.0,231359618.0,19876897154.0,2123995952.0
20100205,58743877336.0,271562492.0,21105650201.0,2375723166.0
20100208,36769958069.0,179628010.0,13935535779.0,2320530528.0
20100209,32654589484.0,212543592.0,12535227556.0,1358196916.0
20100210,30481895574.0,158868404.0,14211895761.0,2802768318.0
20100211,29944410549.0,183409772.0,12541680929.0,4351397588.0
20100212,30632841203.0,206869158.0,12394626473.0,3258074761.0
20100222,35361227198.0,217716164.0,13498370684.0,2798911824.0
20100223,42450217074.0,242201449.0,15945923085.0,2793876817.0
20100224,52877027232.0,266583086.0,22678351330.0,4018601136.0
20100225,64445619087.0,358296662.0,28655654138.0,4430767566.0
20100226,58295656561.0,333141229.0,25295600033.0,6231864896.0
20100301,63750744662.0,346666433.0,26295542733.0,4972218985.0
20100302,66856735518.0,360772941.0,25698317694.0,4626530167.0
20100303,66471386053.0,592559070.0,31305420832.0,4687901347.0
20100304,74449039762.0,451305480.0,35429558301.0,4009894150.0
20100305,48859494398.0,284920898.0,24185474459.0,3410379241.0
20100308,45095403501.0,310241434.0,21031841817.0,3376250256.0
20100309,53397243957.0,336209547.0,21356259197.0,3197034471.0
20100310,47220947962.0,298229284.0,21183839086.0,3265471799.0
20100311,41912712847.0,259991239.0,20583637478.0,4953696559.0
20100312,37959115263.0,276421753.0,23556608149.0,7146176897.0
20100315,33309670434.0,242696564.0,17886982728.0,4187512485.0
20100316,29869360674.0,278969582.0,17739081860.0,3767773130.0
20100317,45190788566.0,336712801.0,24226716764.0,3804349176.0
20100318,48032721649.0,406517427.0,27060353499.0,3966459808.0
20100319,49337996058.0,409234645.0,24365618810.0,4989854574.0
20100322,48950577099.0,364073772.0,25758974161.0,4535492615.0
20100323,48765552581.0,349848152.0,27774499630.0,5633296466.0
20100324,49101256556.0,371886068.0,32664157862.0,7020470654.0
