,symbol
0,SHSE.600000
1,SHSE.600004
2,SHSE.600006
3,SHSE.600007
4,SHSE.600008
5,SHSE.600009
6,SHSE.600010
7,SHSE.600011
8,SHSE.600012
9,SHSE.600015
10,SHSE.600016
11,SHSE.600017
12,SHSE.600018
13,SHSE.600019
14,SHSE.600020
15,SHSE.600021
16,SHSE.600022
17,SHSE.600023
18,SHSE.600025
19,SHSE.600026
20,SHSE.600027
21,SHSE.600028
22,SHSE.600029
23,SHSE.600030
24,SHSE.600031
25,SHSE.600032
26,SHSE.600033
27,SHSE.600035
28,SHSE.600036
29,SHSE.600037
30,SHSE.600038
31,SHSE.600039
32,SHSE.600048
33,SHSE.600050
34,SHSE.600051
35,SHSE.600052
36,SHSE.600053
37,SHSE.600054
38,SHSE.600055
39,SHSE.600056
40,SHSE.600057
41,SHSE.600058
42,SHSE.600059
43,SHSE.600060
44,SHSE.600061
45,SHSE.600062
46,SHSE.600063
47,SHSE.600064
48,SHSE.600066
49,SHSE.600067
50,SHSE.600070
51,SHSE.600071
52,SHSE.600072
53,SHSE.600073
54,SHSE.600075
55,SHSE.600076
56,SHSE.600077
57,SHSE.600078
58,SHSE.600079
59,SHSE.600080
60,SHSE.600081
61,SHSE.600082
62,SHSE.600083
63,SHSE.600084
64,SHSE.600085
65,SHSE.600088
66,SHSE.600089
67,SHSE.600090
68,SHSE.600091
69,SHSE.600093
70,SHSE.600094
71,SHSE.600095
72,SHSE.600096
73,SHSE.600097
74,SHSE.600098
75,SHSE.600099
76,SHSE.600100
77,SHSE.600101
78,SHSE.600103
79,SHSE.600104
80,SHSE.600105
81,SHSE.600106
82,SHSE.600107
83,SHSE.600108
84,SHSE.600109
85,SHSE.600110
86,SHSE.600111
87,SHSE.600112
88,SHSE.600113
89,SHSE.600114
90,SHSE.600115
91,SHSE.600116
92,SHSE.600117
93,SHSE.600118
94,SHSE.600119
95,SHSE.600120
96,SHSE.600121
97,SHSE.600122
98,SHSE.600123
99,SHSE.600125
100,SHSE.600126
101,SHSE.600127
102,SHSE.600128
103,SHSE.600129
104,SHSE.600130
105,SHSE.600131
106,SHSE.600132
107,SHSE.600133
108,SHSE.600135
109,SHSE.600136
110,SHSE.600137
111,SHSE.600138
112,SHSE.600139
113,SHSE.600141
114,SHSE.600143
115,SHSE.600145
116,SHSE.600146
117,SHSE.600148
118,SHSE.600149
119,SHSE.600150
120,SHSE.600151
121,SHSE.600152
122,SHSE.600153
123,SHSE.600155
124,SHSE.600156
125,SHSE.600157
126,SHSE.600158
127,SHSE.600159
128,SHSE.600160
129,SHSE.600161
130,SHSE.600162
131,SHSE.600163
132,SHSE.600165
133,SHSE.600166
134,SHSE.600167
135,SHSE.600168
136,SHSE.600169
137,SHSE.600170
138,SHSE.600171
139,SHSE.600172
140,SHSE.600173
141,SHSE.600176
142,SHSE.600177
143,SHSE.600178
144,SHSE.600179
145,SHSE.600180
146,SHSE.600182
147,SHSE.600183
148,SHSE.600184
149,SHSE.600185
150,SHSE.600186
151,SHSE.600187
152,SHSE.600188
153,SHSE.600189
154,SHSE.600190
155,SHSE.600191
156,SHSE.600192
157,SHSE.600193
158,SHSE.600195
159,SHSE.600196
160,SHSE.600197
161,SHSE.600198
162,SHSE.600199
163,SHSE.600200
164,SHSE.600201
165,SHSE.600202
166,SHSE.600203
167,SHSE.600206
168,SHSE.600207
169,SHSE.600208
170,SHSE.600209
171,SHSE.600210
172,SHSE.600211
173,SHSE.600212
174,SHSE.600213
175,SHSE.600215
176,SHSE.600216
177,SHSE.600217
178,SHSE.600218
179,SHSE.600219
180,SHSE.600220
181,SHSE.600221
182,SHSE.600222
183,SHSE.600223
184,SHSE.600225
185,SHSE.600226
186,SHSE.600227
187,SHSE.600228
188,SHSE.600229
189,SHSE.600230
190,SHSE.600231
191,SHSE.600232
192,SHSE.600233
193,SHSE.600234
194,SHSE.600235
195,SHSE.600236
196,SHSE.600237
197,SHSE.600238
198,SHSE.600239
199,SHSE.600241
200,SHSE.600242
201,SHSE.600243
202,SHSE.600246
203,SHSE.600248
204,SHSE.600249
205,SHSE.600250
206,SHSE.600251
207,SHSE.600252
208,SHSE.600255
209,SHSE.600256
210,SHSE.600257
211,SHSE.600258
212,SHSE.600259
213,SHSE.600260
214,SHSE.600261
215,SHSE.600262
216,SHSE.600265
217,SHSE.600266
218,SHSE.600267
219,SHSE.600268
220,SHSE.600269
221,SHSE.600271
222,SHSE.600272
223,SHSE.600273
224,SHSE.600275
225,SHSE.600276
226,SHSE.600277
227,SHSE.600278
228,SHSE.600279
229,SHSE.600280
230,SHSE.600281
231,SHSE.600282
232,SHSE.600283
233,SHSE.600284
234,SHSE.600285
235,SHSE.600287
236,SHSE.600288
237,SHSE.600289
238,SHSE.600290
239,SHSE.600291
240,SHSE.600292
241,SHSE.600293
242,SHSE.600295
243,SHSE.600297
244,SHSE.600298
245,SHSE.600299
246,SHSE.600300
247,SHSE.600301
248,SHSE.600302
249,SHSE.600303
250,SHSE.600305
251,SHSE.600306
252,SHSE.600307
253,SHSE.600308
254,SHSE.600309
255,SHSE.600310
256,SHSE.600311
257,SHSE.600312
258,SHSE.600313
259,SHSE.600315
260,SHSE.600316
261,SHSE.600318
262,SHSE.600319
263,SHSE.600320
264,SHSE.600321
265,SHSE.600322
266,SHSE.600323
267,SHSE.600325
268,SHSE.600326
269,SHSE.600327
270,SHSE.600328
271,SHSE.600329
272,SHSE.600330
273,SHSE.600331
274,SHSE.600332
275,SHSE.600333
276,SHSE.600335
277,SHSE.600336
278,SHSE.600337
279,SHSE.600338
280,SHSE.600339
281,SHSE.600340
282,SHSE.600343
283,SHSE.600345
284,SHSE.600346
285,SHSE.600348
286,SHSE.600350
287,SHSE.600351
288,SHSE.600352
289,SHSE.600353
290,SHSE.600354
291,SHSE.600355
292,SHSE.600356
293,SHSE.600358
294,SHSE.600359
295,SHSE.600360
296,SHSE.600361
297,SHSE.600362
298,SHSE.600363
299,SHSE.600365
300,SHSE.600366
301,SHSE.600367
302,SHSE.600368
303,SHSE.600369
304,SHSE.600370
305,SHSE.600371
306,SHSE.600372
307,SHSE.600373
308,SHSE.600375
309,SHSE.600376
310,SHSE.600377
311,SHSE.600378
312,SHSE.600379
313,SHSE.600380
314,SHSE.600381
